,,,메인보드 품목,단가,제조사,소켓,세부 칩셋,폼팩터,길이,폭,DDR,메모리 슬롯,램 클럭 지원,SLI,CF,DVI,D-Sub,HDMI 2.0,HDMI,DP,USB C 3.1,USB C 3.0,USB 3.1,USB 3.0,USB 2.0,"SATA
3","SATA
2",M.2,SATAe,U.2,LAN,WiFi,Bluetooth,색상,RGB Sync
60,LGA 1151v2,,[ASUS] TUF B360M-PLUS GAMING,\119000,ASUS,LGA 1151v2,B360,m-ATX,24.4,23.1,DDR4,4 개,2666Mhz,,,O,,,O,,,1,2,,2,6,,2,,,Intel I219V,,,,O
61,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,LGA 1151v2,,[BIOSTAR] B360MHD PRO,\80200,BIOSTAR,LGA 1151v2,B360,m-ATX,22.8,17.7,DDR4,2 개,2666Mhz,,,O,O,,O,,,,,4,2,4,,,,,Realtek RTL8111H,,,,
63,LGA 1151v2,,[BIOSTAR] RACING B360 GT3S,\106000,BIOSTAR,LGA 1151v2,B360,m-ATX,24.4,23,DDR4,4 개,2666Mhz,,,O,O,,O,,1,,1,2,2,6,,2,,,Intel I219V,,,,O
64,0,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,LGA 1151v2,,[GIGABYTE] B360 AORUS Gaming 3 WiFi,\144300,GIGABYTE,LGA 1151v2,B360,ATX,30.5,22.5,DDR4,4 개,2666Mhz,,2,O,,,O,,1,,1,2,4,6,,2,,,Intel I219V,O,,,O
66,LGA 1151v2,,[GIGABYTE] B360 AORUS Gaming 3,\136800,GIGABYTE,LGA 1151v2,B360,ATX,30.5,22.5,DDR4,4 개,2666Mhz,,2,O,,,O,,1,,1,2,4,6,,2,,,Intel I219V,,,,O
67,LGA 1151v2,,[GIGABYTE] B360 HD3 듀러블에디션,\117000,GIGABYTE,LGA 1151v2,B360,ATX,30.5,22.5,DDR4,4 개,2666Mhz,,2,O,O,,O,,,,1,3,2,6,,2,,,Realtek RTL8111H,,,,O
68,LGA 1151v2,,[GIGABYTE] B360 HD3P 듀러블에디션,\123000,GIGABYTE,LGA 1151v2,B360,ATX,30.5,24.4,DDR4,4 개,2666Mhz,,2,O,,,O,,1,,2,2,2,6,,2,,,Intel I219V,,,,O
69,LGA 1151v2,,[GIGABYTE] B360M AORUS Gaming 3,\123000,GIGABYTE,LGA 1151v2,B360,m-ATX,24.4,23,DDR4,4 개,2666Mhz,,2,O,,,O,,,,1,3,2,6,,2,,,Intel I219V,,,,O
