,,,CPU 품목,가격,제품군,제조사,코어 수,쓰레드 수,동작속도,터보속도,L3캐시,내장 그래픽,GPU속도,"최대 지원
메모리",TDP,소켓,정품,"기본쿨러포함",모델
55,0,, ,,,,,,,,,,,,,,,,
56,LGA 1151v2,,[Intel] i3-8100 (커피레이크),\125000,Core i3,Intel,4개,4개,3.6 Ghz,지원 안함 ,6MB,UHD 630 (i3),1100Mhz,2400Mhz,65W,LGA 1151v2,O,O,i3-8100
57,LGA 1151v2,,[Intel] i3-8300 (커피레이크),\156600,Core i3,Intel,4개,4개,3.7 Ghz,지원 안함 ,8MB,UHD 630 (i3),1150Mhz,2400Mhz,65W,LGA 1151v2,O,O,i3-8300
58,LGA 1151v2,,[Intel] i3-8350K (커피레이크),\193300,Core i3,Intel,4개,4개,4 Ghz,지원 안함 ,8MB,UHD 630 (i3),1150Mhz,2400Mhz,95W,LGA 1151v2,O,X,i3-8350K
59,,, ,,,,,,,,,,,,,,,,
60,,,-- [Intel] i5 --,,,,,,,,,,,,,,,,
61,,, ,,,,,,,,,,,,,,,,
62,LGA 1150,,[Intel] i5-4440 (하스웰) (벌크),\189190,Core i5,Intel,4개,4개,3.1 Ghz,3.3 Ghz,6MB,HD 4600,1100Mhz,1600Mhz,84W,LGA 1150,X,X,i5-4440
63,LGA 1150,,[Intel] i5-4460 (하스웰 리프레시) (벌크 +쿨러),\177780,Core i5,Intel,4개,4개,3.2 Ghz,3.4 Ghz,6MB,HD 4600,1100Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4460
64,LGA 1150,,[Intel] i5-4570 (하스웰) (벌크),\160310,Core i5,Intel,4개,4개,3.2 Ghz,3.6 Ghz,6MB,HD 4600,1150Mhz,1600Mhz,84W,LGA 1150,X,X,i5-4570
65,LGA 1150,,[Intel] i5-4590 (하스웰 리프레시),\-,Core i5,Intel,4개,4개,3.3 Ghz,3.7 Ghz,6MB,HD 4600,1150Mhz,1600Mhz,84W,LGA 1150,O,O,i5-4590
66,LGA 1150,,[Intel] i5-4590 (하스웰 리프레시) (벌크 +쿨러),\188500,Core i5,Intel,4개,4개,3.3 Ghz,3.7 Ghz,6MB,HD 4600,1150Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4590
67,LGA 1150,,[Intel] i5-4670 (하스웰) (벌크 + 쿨러),\174440,Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4670
68,LGA 1150,,[Intel] i5-4670K (하스웰) (벌크 + 쿨러),\291200,Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4670K
69,LGA 1150,,[Intel] i5-4690 (하스웰 리프레시) (벌크 + 쿨러),\170350,Core i5,Intel,4개,4개,3.5 GHz,3.9 GHz,6MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4690
70,LGA 1150,,[Intel] i5-4690K (데빌스캐년) (벌크),\329880,Core i5,Intel,4개,4개,3.5 Ghz,3.9 Ghz,6MB,HD 4600,1200Mhz,1600Mhz,88W,LGA 1150,X,X,i5-4690K
71,0,, ,,,,,,,,,,,,,,,,
72,LGA 1151,,[Intel] i5-6400 (스카이레이크),\201900,Core i5,Intel,4개,4개,2.7 Ghz,3.3 Ghz,6MB,HD 530,950Mhz,2133Mhz,65W,LGA 1151,O,O,i5-6400
73,LGA 1151,,[Intel] i5-6500 (스카이레이크),\223900,Core i5,Intel,4개,4개,3.2 Ghz,3.6 Ghz,6MB,HD 530,1050Mhz,2133Mhz,65W,LGA 1151,O,O,i5-6500
74,LGA 1151,,[Intel] i5-6600 (스카이레이크),\243200,Core i5,Intel,4개,4개,3.3 Ghz,3.9 Ghz,6MB,HD 530,1150Mhz,2133Mhz,65W,LGA 1151,O,O,i5-6600
75,LGA 1151,,[Intel] i5-6600K (스카이레이크),\262500,Core i5,Intel,4개,4개,3.5 GHz,3.9 GHz,6MB,HD 530,1150Mhz,2133Mhz,91W,LGA 1151,O,X,i5-6600K
76,0,, ,,,,,,,,,,,,,,,,
77,LGA 1151,,[Intel] i5-7400 (카비레이크),\194800,Core i5,Intel,4개,4개,3 Ghz,3.5 Ghz,6MB,HD 630,1000Mhz,2400Mhz,65W,LGA 1151,O,O,i5-7400
78,LGA 1151,,[Intel] i5-7500 (카비레이크),\206200,Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 630,1100Mhz,2400Mhz,65W,LGA 1151,O,O,i5-7500
79,LGA 1151,,[Intel] i5-7600 (카비레이크),\233700,Core i5,Intel,4개,4개,3.5 Ghz,4.1 Ghz,6MB,HD 630,1150Mhz,2400Mhz,65W,LGA 1151,O,O,i5-7600
