,,,CPU Cooler,가격,제조사,쿨러 종류,권장 케이스 폭,쿨러 높이,팬 커넥터,펌프 커넥터,팬 크기,팬 개수,팬 굵기,베어링,최소 회전속도,최대 회전속도,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,최소 펌프속도,최대 펌프속도,최소 펌프소음,최대 펌프소음,LGA 2066,LGA 1151,LGA 2011-v3,LGA 115x,LGA 2011,TR4,SP3,AM4,AMx/FMx,팬 색깔,(워터블록 색),본체 색깔,LED 색,발광부분,(워터블록 LED),보증 기간
43,타워형 공랭,,[ID-COOLING] SE-207,\60300,ID-COOLING,타워형 공랭,180mm,159mm,4핀,,120mm,2개,25T,Hydraulic,700rpm,1800rpm,,74.5CFM,,2.15mmH2O,18dBA,35.2dBA,,,,,O,,O,O,O,,,O,O,흰색,,크롬,,,,
44,타워형 공랭,,[ID-COOLING] SE-214L-WHITE 3RSYS,\31600,ID-COOLING,타워형 공랭,180mm,160mm,4핀,,130mm,1개,25T,유체,500rpm,1800rpm,,69.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,,,,,,O,O,O,O,,,O,O,투명,,검정,흰색,팬,,
45,타워형 공랭,,[ID-COOLING] SE-214L-SNOW 3RSYS,\36000,ID-COOLING,타워형 공랭,180mm,160mm,4핀,,130mm,1개,25T,유체,500rpm,1800rpm,,69.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,,,,,,O,O,O,O,,,O,O,투명,,흰색,흰색,팬,,
46,타워형 공랭,,[ID-COOLING] SE-214L-RED 3RSYS,\31600,ID-COOLING,타워형 공랭,180mm,160mm,4핀,,130mm,1개,25T,유체,500rpm,1800rpm,,69.5CFM,,1.82mmH2O,12.1dBA,24.2dBA,,,,,,O,O,O,O,,,O,O,투명,,검정,빨강,팬,,
47,타워형 공랭,,[ID-COOLING] SE-204K-WHITE,\25760,ID-COOLING,타워형 공랭,180mm,157mm,4핀,,120mm,1개,25T,Hydraulic,700rpm,1500rpm,,62CFM,,,18dBA,26.4dBA,,,,,,O,O,O,O,,,,O,투명,,은색,흰색,팬,,
48,타워형 공랭,,[ID-COOLING] SE-204K-RED,\25760,ID-COOLING,타워형 공랭,180mm,157mm,4핀,,120mm,1개,25T,Hydraulic,700rpm,1500rpm,,62CFM,,,18dBA,26.4dBA,,,,,,O,O,O,O,,,,O,투명,,은색,빨강,팬,,
49,타워형 공랭,,[ID-COOLING] SE-204K-GREEN,\25760,ID-COOLING,타워형 공랭,180mm,157mm,4핀,,120mm,1개,25T,Hydraulic,700rpm,1500rpm,,62CFM,,,18dBA,26.4dBA,,,,,,O,O,O,O,,,,O,투명,,은색,녹색,팬,,
50,타워형 공랭,,[ID-COOLING] SE-204K-BLUE,\25760,ID-COOLING,타워형 공랭,180mm,157mm,4핀,,120mm,1개,25T,Hydraulic,700rpm,1500rpm,,62CFM,,,18dBA,26.4dBA,,,,,,O,O,O,O,,,,O,투명,,은색,파랑,팬,,
51,타워형 공랭,,[ID-COOLING] SE-204K-NO,\25760,ID-COOLING,타워형 공랭,180mm,157mm,4핀,,120mm,1개,25T,Hydraulic,700rpm,1500rpm,,62CFM,,,18dBA,26.4dBA,,,,,,O,O,O,O,,,,O,검정,,은색,,,,
52,타워형 공랭,,[ID-COOLING] SE-214C-W for 라이젠,\30300,ID-COOLING,타워형 공랭,,159mm,4핀,,120mm,1개,25T,Hydraulic,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,,,,,,O,O,O,O,,,O,O,검정,,검정,흰색,링,,
53,타워형 공랭,,[ID-COOLING] SE-214C-R for 라이젠,\30300,ID-COOLING,타워형 공랭,,159mm,4핀,,120mm,1개,25T,Hydraulic,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,,,,,,O,O,O,O,,,O,O,검정,,검정,빨강,링,,
54,타워형 공랭,,[ID-COOLING] SE-214C-B for 라이젠,\30300,ID-COOLING,타워형 공랭,,159mm,4핀,,120mm,1개,25T,Hydraulic,600rpm,1600rpm,,50CFM,,1.82mmH2O,16.2dBA,30.5dBA,,,,,,O,O,O,O,,,O,O,검정,,검정,파랑,링,,
55,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,타워형 공랭,,[MSI] 코어프로져 XL,\-,MSI,타워형 공랭,180mm,170mm,4핀,,120mm,2개,25T,유체,500rpm,1800rpm,19.79CFM,71.27CFM,0.16mmH2O,2.09mmH2O,17.2dBA,33.6dBA,,,,,,O,O,O,O,,,O,O,검정,,검빨,RGB (MB/SW),본체,,
57,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,타워형 공랭,,[NOCTUA] NH-D15S + NM-AM4 킷,\120740,NOCTUA,타워형 공랭,,165mm,4핀,,140mm,1개,25T,SSO2,1200rpm,1500rpm,67.97CFM,82.51CFM,,,19.2dBA,24.6dBA,,,,,,O,O,O,O,,,,O,갈색,,은색,,,,
59,타워형 공랭,,[NOCTUA] NH-D15,\119600,NOCTUA,타워형 공랭,,161mm,4핀,,140mm,2개,25T,SSO2,1200rpm,1500rpm,67.97CFM,82.51CFM,,,19.2dBA,24.6dBA,,,,,,,O,O,O,,,,O,갈색,,은색,,,,
60,타워형 공랭,,[NOCTUA] NH-U14S,\100600,NOCTUA,타워형 공랭,,165mm,4핀,,140mm,1개,25T,SSO2,900rpm,1200rpm,52.2CFM,67.97CFM,0.89mmH2O,1.51mmH2O,13.8dBA,19.2dBA,,,,,,,,O,O,,,,O,갈색,,은색,,,,
61,타워형 공랭,,[NOCTUA] NH-U12S + NM-AM4 UxS 킷,\91100,NOCTUA,타워형 공랭,,158mm,4핀,,120mm,1개,25T,SSO2,1200rpm,1500rpm,43.73CFM,54.97CFM,1.83mmH2O,2.61mmH2O,18.6dBA,22.4dBA,,,,,,O,,O,O,,,O,O,갈색,,은색,,,,
62,타워형 공랭,,[NOCTUA] NH-U14S TR4-SP3,\106050,NOCTUA,타워형 공랭,,165mm,4핀,,140mm,1개,25T,SSO2,1200rpm,1500rpm,67.97CFM,82.51CFM,,,19.2dBA,24.6dBA,,,,,,,,,,O,O,,,갈색,,은색,,,,
63,타워형 공랭,,[NOCTUA] NH-U12S TR4-SP3,\97970,NOCTUA,타워형 공랭,,158mm,4핀,,120mm,1개,25T,SSO2,1200rpm,1500rpm,43.73CFM,54.97CFM,,,18.6dBA,22.4dBA,,,,,,,,,,O,O,,,갈색,,은색,,,,
64,타워형 공랭,, ,,,타워형 공랭,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,타워형 공랭,,[SCYTHE] FUMA Rev.B,\70000,SCYTHE,타워형 공랭,150mm,149mm,4핀,,120mm,2개,25T,슬리브,300rpm,1400rpm,5.6CFM,79CFM,0.01mmH2O,1.56mmH2O,13dBA,28dBA,,,,,O,O,O,O,O,,,O,O,검정,,은색,,,,2년
66,타워형 공랭,,[SCYTHE] KOTETSU MARK II,\48150,SCYTHE,타워형 공랭,180mm,154mm,4핀,,120mm,1개,27T,FDB,300rpm,1200rpm,16.6CFM,51.17CFM,0.076mmH2O,1.05mmH2O,4dBA,24.9dBA,,,,,O,O,O,O,O,,,O,O,검정,,검정,,,,2년
67,타워형 공랭,,[SCYTHE] MUGEN 5 대양케이스,\63000,SCYTHE,타워형 공랭,180mm,154.5mm,4핀,,120mm,1개,27T,FDB,300rpm,1200rpm,16.6CFM,51.17CFM,0.076mmH2O,1.05mmH2O,4dBA,24.9dBA,,,,,,O,O,O,O,,,O,O,검정,,은색,,,,1년
