,45,67.9,19.2,28200,[NOCTUA] NF-A15 PWM,NOCTUA,140mm,25T,SSO2,4핀,,1200rpm,,,,,갈색,살색,
,46,91.19,33,138000,[NZXT] AER RGB 140 트리플 패키지 BRAVOTEC,NZXT,140mm,25T,유체,4핀,500rpm,1500rpm,22dBA,2년,RGB (Cont),링,검정,검정,
,47,91.19,33,138000,[NZXT] AER RGB 140 스타터 킷 패키지 BRAVOTEC,NZXT,140mm,25T,유체,4핀,500rpm,1500rpm,22dBA,2년,RGB (Cont),링,검정,검정,
,48,91.19,33,49000,[NZXT] AER RGB 140 단품 패키지 BRAVOTEC,NZXT,140mm,25T,유체,4핀,500rpm,1500rpm,22dBA,2년,RGB (Cont),링,검정,검정,
,49,63.19,27.2,85000,[써멀테이크] Riing 14 RGB Radiator Fan TT Premium Edition 아스크텍,써멀테이크,140mm,25T,Hydraulic,9핀,500rpm,1400rpm,,,RGB (Cont),링,검정,검정,
,50,51.15,28.1,65700,[써멀테이크] Riing 14 LED RGB 256 Colors (3PACK),써멀테이크,140mm,25T,Hydraulic,4핀,800rpm,1400rpm,19dBA,,256C (Cont),링,검정,검정,
,51,51.15,28.1,27600,[써멀테이크] Riing 14 LED RGB 256 Colors (1PACK),써멀테이크,140mm,25T,Hydraulic,4핀,800rpm,1400rpm,19dBA,,256C (Cont),링,검정,검정,
,52,51.15,28.1,16100,[써멀테이크] Riing 14 LED FAN Yellow 아스크텍,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,,노랑,링,검정,검정,
,53,51.15,28.1,16100,[써멀테이크] Riing 14 LED FAN Orange 아스크텍,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,,주황,링,검정,검정,
,54,51.15,28.1,16790,[써멀테이크] Riing 14 LED FAN White 아스크텍,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,,흰색,링,검정,검정,
,55,51.15,28.1,16100,[써멀테이크] Riing 14 LED FAN Green 아스크텍,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,,녹색,링,검정,검정,
,56,51.15,28.1,16250,[써멀테이크] Riing 14 LED FAN Red 아스크텍,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,,빨강,링,검정,검정,
,57,51.15,28.1,16520,[써멀테이크] Riing 14 LED FAN Blue 아스크텍,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,,파랑,링,검정,검정,
,58,46.2,20,26500,[쿨러마스터] MASTERFAN PRO 140 Air Pressure RGB,쿨러마스터,140mm,25T,,4핀,650rpm,1550rpm,6dBA,5년, RGB (MB),팬,투명,검정,
,59,53,20,28260,[쿨러마스터] MASTERFAN PRO 140 Air Flow RGB,쿨러마스터,140mm,25T,,4핀,500rpm,800rpm,6dBA,5년, RGB (MB),팬,투명,검정,
,60,33,23.5,65100,[ABKO] SUITMASTER HALO 120F RGB SPECTRUM KIT,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,,7C (Cont),링,투명,검정,
,61,33,23.5,20000,[ABKO] SUITMASTER HALO 120F RGB SPECTRUM,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,,7C (Cont),링,투명,검정,
,62,34.34,25,40000,[ABKO] SUITMASTER HALO DOUBLING 120F RGB REMOTE KIT,ABKO,120mm,25T,Hydro,6핀,,1500rpm,,,7C (Cont),링,검정,검정,
,63,34.34,25,17250,[ABKO] SUITMASTER HALO DOUBLING 120F RGB,ABKO,120mm,25T,Hydro,6핀,,1500rpm,,,7C (Cont),링,검정,검정,
,64,34.34,25,15000,[ABKO] SUITMASTER HALO DOUBLING 120F WHITE,ABKO,120mm,25T,Hydro,3핀,,1500rpm,,,흰색,링,검정,검정,
,65,34.34,25,15000,[ABKO] SUITMASTER HALO DOUBLING 120F RED,ABKO,120mm,25T,Hydro,3핀,,1500rpm,,,빨강,링,검정,검정,
,66,34.34,25,15000,[ABKO] SUITMASTER HALO DOUBLING 120F BLUE,ABKO,120mm,25T,Hydro,3핀,,1500rpm,,,파랑,링,검정,검정,
,67,33,23.5,33000,[ABKO] SUITMASTER HALO 120F RGB REMOTE KIT,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,,7C (Cont),링,투명,검정,
,68,33,23.5,14000,[ABKO] SUITMASTER HALO 120F RGB,ABKO,120mm,25T,Hydro,6핀,,1300rpm,,,7C (Cont),링,투명,검정,
,69,33,25,12200,[ABKO] SUITMASTER HALO 120F GREEN LED,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,,녹색,링,투명,검정,
,70,33,25,12200,[ABKO] SUITMASTER HALO 120F YELLOW LED,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,,노랑,링,투명,검정,
,71,33,25,12200,[ABKO] SUITMASTER HALO 120F WHITE LED,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,,흰색,링,투명,검정,
,72,33,25,12200,[ABKO] SUITMASTER HALO 120F RED LED,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,,빨강,링,투명,검정,
,73,33,25,12200,[ABKO] SUITMASTER HALO 120F BLUE LED,ABKO,120mm,25T,Hydro,3핀,,1300rpm,,,파랑,링,투명,검정,
,74,36,23,7500,[ABKO] SUITMASTER 120F BLADE WHITE LED,ABKO,120mm,25T,슬리브,3핀,,1200rpm,,,흰색,팬,투명,흰색,
,75,36,23,7500,[ABKO] SUITMASTER 120F BLADE RED LED,ABKO,120mm,25T,슬리브,3핀,,1200rpm,,,빨강,팬,투명,흰색,
,76,36,23,7500,[ABKO] SUITMASTER 120F BLADE BLUE LED,ABKO,120mm,25T,슬리브,3핀,,1200rpm,,,파랑,팬,투명,흰색,
,77,42.62,24.8,15900,[Antec] RGB LED RAINBOW 120,Antec,120mm,25T,Hydraulic,3핀,,1200rpm,,2년,256C (Cont),팬,메탈,검정,
,78,46.3,19.9,20330,[Antec] TrueQuiet UFO 120mm LED Blue 블랙 진동 패드,Antec,120mm,25T,,3핀,,1000rpm,,,파랑,팬,투명,검정,
,79,46.3,19.9,16280,[Antec] TrueQuiet UFO 120mm LED Red 블랙 진동 패드,Antec,120mm,25T,,3핀,,1000rpm,,,빨강,팬,투명,검정,
,80,69,26,21840,[ARCTIC] BioniX F120,ARCTIC,120mm,27T,FDB,4핀,200rpm,1800rpm,,10년,,,검정,검정,
,81,51.4,20.2,19450,[be quiet] PURE WINGS 2 120mm PWM,be quiet,120mm,25T,Rifle,4핀,,1500rpm,,3년,,,검정,검정,
,82,73.33,28.6,44100,[be quiet] SILENT WINGS 3 120mm PWM HIGH-SPEED,be quiet,120mm,25T,FDB,4핀,,2200rpm,,3년,,,검정,검정,
,83,73.33,28.6,38000,[be quiet] SILENT WINGS 3 120mm HIGH-SPEED,be quiet,120mm,25T,FDB,3핀,,2200rpm,,3년,,,검정,검정,
,84,50.5,16.4,40000,[be quiet] SILENT WINGS 3 120mm PWM,be quiet,120mm,25T,FDB,4핀,,1450rpm,,3년,,,검정,검정,
,85,50.5,16.4,38000,[be quiet] SILENT WINGS 3 120mm,be quiet,120mm,25T,FDB,3핀,,1450rpm,,3년,,,검정,검정,
,86,50.5,16.5,40000,[be quiet] Silent Wings 2 PWM 120mm,be quiet,120mm,25T,FDB,4핀,,1500rpm,,3년,,,검정,검정,
,87,50.5,15.7,37000,[be quiet] Silent Wings 2 120mm,be quiet,120mm,25T,FDB,3핀,,1500rpm,,3년,,,검정,검정,
,88,40.6,24.1,11960,[BRAVOTEC] JONSBO FR-501 ARGB,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1200rpm,,,RGB (Auto),팬,투명,검정,
,89,38.5,24,10800,[BRAVOTEC] JONSBO FR-601 SNOW RED,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,,빨강,링,흰색,흰색,
,90,38.5,24,13500,[BRAVOTEC] JONSBO FR-601 SNOW ARGB,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,,RGB (Auto),링,흰색,흰색,
,91,38.5,24,10800,[BRAVOTEC] JONSBO FR-601 SNOW WHITE,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,,흰색,링,흰색,흰색,
,92,38.5,24,12500,[BRAVOTEC] JONSBO FR-601 ARGB,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,,RGB (Auto),링,검정,검정,
,93,38.5,24,9800,[BRAVOTEC] JONSBO FR-601 RED,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,,빨강,링,검정,검정,
,94,38.5,24,9800,[BRAVOTEC] JONSBO FR-601 WHITE,BRAVOTEC,120mm,25T,Hydraulic,3핀,,1500rpm,,,흰색,링,검정,검정,
,95,45.1,26.1,16000,[BRAVOTEC] JONSBO FR-301 써클링 RED LED PWM,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,18dBA,,빨강,링,검정,검정,
,96,45.1,26.1,16000,[BRAVOTEC] JONSBO FR-201 헥사곤 WHITE LED PWM,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,18dBA,,흰색,링,검정,검정,
,97,45.1,26.1,16000,[BRAVOTEC] JONSBO FR-201 헥사곤 RED LED PWM,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,18dBA,,빨강,링,검정,검정,
,98,42.6,25.6,29000,[BRAVOTEC] JONSBO FR-531 LED RGB,BRAVOTEC,120mm,25T,Hydraulic,6핀,750rpm,1300rpm,18dBA,,RGB (Cont),팬,투명,검정,
,99,48.84,29.6,24000,[BRAVOTEC] JONSBO FR-101 WHITE LED PWM,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1800rpm,15.2dBA,,흰색,팬,크롬,검정,
,100,48.84,29.6,19100,[BRAVOTEC] JONSBO FR-101 RED LED PWM,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1800rpm,15.2dBA,,빨강,팬,크롬,검정,
,101,50.5,25.4,47000,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED RGB,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,18.5dBA,,256C (Cont),링,투명,검정,
,102,50.5,25.4,47000,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED RED,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,18.5dBA,,빨강,링,투명,검정,
,103,50.5,25.4,47000,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED GREEN,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,18.5dBA,,녹색,링,투명,검정,
,104,47.3,25,158040,[CORSAIR] ML120 PRO RGB (3PACK/Controller),CORSAIR,120mm,25T,Magnetic,4핀,400rpm,1600rpm,,5년,RGB (Cont),팬,흰색,검정,
,105,47.3,25,43880,[CORSAIR] ML120 PRO RGB (1PACK),CORSAIR,120mm,25T,Magnetic,4핀,400rpm,1600rpm,,5년,RGB (Cont),팬,흰색,검정,
,106,43.25,24.8,176800,[CORSAIR] LL120 (3PACK/Controller),CORSAIR,120mm,25T,Hydraulic,4핀,600rpm,1500rpm,,2년,RGB (Cont),팬/링,흰색,검정,
,107,43.25,24.8,48880,[CORSAIR] LL120 (1PACK),CORSAIR,120mm,25T,Hydraulic,4핀,600rpm,1500rpm,,2년,RGB (Cont),팬/링,흰색,검정,
,108,52,26,102960,[CORSAIR] SP120 RGB (3PACK/Controller),CORSAIR,120mm,25T,Hydraulic,3핀,,1400rpm,,2년,RGB (Cont),팬,흰색,검정,
,109,52,26,31000,[CORSAIR] SP120 RGB (1PACK),CORSAIR,120mm,25T,Hydraulic,3핀,,1400rpm,,2년,RGB (Cont),팬,흰색,검정,
,110,54.4,30,135000,[CORSAIR] HD120 (3PACK/Controller),CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,18dBA,2년,RGB (Cont),팬,흰색,검정,
,111,54.4,30,60000,[CORSAIR] HD120 (1PACK/Controller),CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,18dBA,2년,RGB (Cont),팬,흰색,검정,
,112,54.4,30,40000,[CORSAIR] HD120 (1PACK),CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,18dBA,2년,RGB (Cont),팬,흰색,검정,
,113,75,37,42850,[CORSAIR] ML120 PRO LED White,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,16dBA,5년,흰색,팬,투명,검정,
,114,75,37,39900,[CORSAIR] ML120 PRO LED Blue,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,16dBA,5년,파랑,팬,투명,검정,
,115,75,37,39520,[CORSAIR] ML120 PRO LED Red,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,16dBA,5년,빨강,팬,투명,검정,
,116,57.24,26.4,15000,[CORSAIR] SP120 LED 퍼플,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,,,보라,팬,투명,검정,
,117,57.24,26.4,24500,[CORSAIR] SP120 LED 그린,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,,,녹색,팬,투명,검정,
,118,57.24,26.4,24500,[CORSAIR] SP120 LED 블루,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,,,파랑,팬,투명,검정,
,119,64.37,16.6,15710,[COUGAR] DUAL-X 120mm LED 화이트,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,,흰색,팬,흰색,검정,
,120,64.37,16.6,15000,[COUGAR] DUAL-X 120mm LED 블루,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,,파랑,팬,파랑,검정,
,121,64.37,16.6,15710,[COUGAR] DUAL-X 120mm LED 레드,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,,빨강,팬,빨강,검정,
,122,64.37,16.6,15000,[COUGAR] DUAL-X 120mm LED 그린,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,,,녹색,팬,녹색,검정,
,123,49,25,16630,[CRYORIG] QF120 BALANCE,CRYORIG,120mm,25T,HPLN,4핀,330rpm,1600rpm,10dBA,3년,,,흰색,검정,
,124,83,37,16630,[CRYORIG] QF120 PERFORMANCE,CRYORIG,120mm,25T,HPLN,4핀,600rpm,2200rpm,13dBA,3년,,,흰색,검정,
,125,44,19,16630,[CRYORIG] QF120 SILENT,CRYORIG,120mm,25T,HPLN,4핀,200rpm,1000rpm,5dBA,3년,,,흰색,검정,
,126,56.5,27,57700,[DEEPCOOL] RF120 RGB 아우라 싱크 PWM BRAVOTEC (3PACK),DEEPCOOL,120mm,25T,Hydro,4핀,500rpm,1500rpm,17.8dBA,1년,RGB (MB),팬,투명,검정,
,127,56.5,27,18360,[DEEPCOOL] RF120 RGB 아우라 싱크 PWM BRAVOTEC (1PACK),DEEPCOOL,120mm,25T,Hydro,4핀,500rpm,1500rpm,17.8dBA,1년,RGB (MB),팬,투명,검정,
,128,52.3,19.4,17220,[Fractal Design] Dynamic X2 GP-12B,Fractal Design,120mm,25T,LLS,3핀,,1200rpm,,2년,,,검정,검정,
,129,52.3,19.4,17000,[Fractal Design] Dynamic X2 GP-12W,Fractal Design,120mm,25T,LLS,3핀,,1200rpm,,2년,,,흰색,검정,
