,40,8048,177780,84,0,LGA 1150,[Intel] i5-4460 (하스웰 리프레시) (벌크 +쿨러),Core i5,Intel,4개,4개,3.2 Ghz,3.4 Ghz,6MB,HD 4600,1100,1600,
,41,8543,160310,84,0,LGA 1150,[Intel] i5-4570 (하스웰) (벌크),Core i5,Intel,4개,4개,3.2 Ghz,3.6 Ghz,6MB,HD 4600,1150,1600,
,42,8754,188500,84,0,LGA 1150,[Intel] i5-4590 (하스웰 리프레시) (벌크 +쿨러),Core i5,Intel,4개,4개,3.3 Ghz,3.7 Ghz,6MB,HD 4600,1150,1600,
,43,8921,174440,84,0,LGA 1150,[Intel] i5-4670 (하스웰) (벌크 + 쿨러),Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 4600,1200,1600,
,44,9158,291200,84,1,LGA 1150,[Intel] i5-4670K (하스웰) (벌크 + 쿨러),Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 4600,1200,1600,
,45,9185,170350,84,0,LGA 1150,[Intel] i5-4690 (하스웰 리프레시) (벌크 + 쿨러),Core i5,Intel,4개,4개,3.5 GHz,3.9 GHz,6MB,HD 4600,1200,1600,
,46,9355,329880,88,1,LGA 1150,[Intel] i5-4690K (데빌스캐년) (벌크),Core i5,Intel,4개,4개,3.5 Ghz,3.9 Ghz,6MB,HD 4600,1200,1600,
,47,8113,201900,65,0,LGA 1151,[Intel] i5-6400 (스카이레이크),Core i5,Intel,4개,4개,2.7 Ghz,3.3 Ghz,6MB,HD 530,950,2133,
,48,8687,223900,65,0,LGA 1151,[Intel] i5-6500 (스카이레이크),Core i5,Intel,4개,4개,3.2 Ghz,3.6 Ghz,6MB,HD 530,1050,2133,
,49,9310,243200,65,0,LGA 1151,[Intel] i5-6600 (스카이레이크),Core i5,Intel,4개,4개,3.3 Ghz,3.9 Ghz,6MB,HD 530,1150,2133,
,50,9661,262500,91,1,LGA 1151,[Intel] i5-6600K (스카이레이크),Core i5,Intel,4개,4개,3.5 GHz,3.9 GHz,6MB,HD 530,1150,2133,
,51,8828,194800,65,0,LGA 1151,[Intel] i5-7400 (카비레이크),Core i5,Intel,4개,4개,3 Ghz,3.5 Ghz,6MB,HD 630,1000,2400,
,52,9646,206200,65,0,LGA 1151,[Intel] i5-7500 (카비레이크),Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 630,1100,2400,
,53,10520,233700,65,0,LGA 1151,[Intel] i5-7600 (카비레이크),Core i5,Intel,4개,4개,3.5 Ghz,4.1 Ghz,6MB,HD 630,1150,2400,
,54,10960,288400,91,1,LGA 1151,[Intel] i5-7600K (카비레이크),Core i5,Intel,4개,4개,3.8 Ghz,4.2 Ghz,6MB,HD 630,1150,2400,
,55,11506,184100,112,1,LGA 2066,[Intel] i5-7640X (카비레이크-X),Core i5,Intel,4개,4개,4 Ghz,4.2 Ghz,6MB,N/A,0,2400,
,56,11744,340000,84,0,LGA 1150,[Intel] i7-4770 (하스웰) (벌크 + 쿨러),Core i7,Intel,4개,8개,3.4 Ghz,3.9 Ghz,8MB,HD 4600,1200,1600,
,57,12119,369740,84,0,LGA 1150,[Intel] i7-4770K (하스웰) (벌크),Core i7,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,HD 4600,1250,1600,
,58,11990,403140,84,0,LGA 1150,[Intel] i7-4790 (하스웰 리프레시),Core i7,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD 4600,1200,1600,
,59,11990,319400,84,0,LGA 1150,[Intel] i7-4790 (하스웰 리프레시) (벌크 + 쿨러),Core i7,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD 4600,1200,1600,
