,105,[BRAVOTEC] JONSBO FR-301 써클링 RED LED PWM,16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,45.1CFM,,18dBA,26.1dBA,검정,검정,빨강,링,
,106,[BRAVOTEC] JONSBO FR-201 헥사곤 WHITE LED PWM,16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,45.1CFM,,18dBA,26.1dBA,검정,검정,흰색,링,
,107,[BRAVOTEC] JONSBO FR-201 헥사곤 RED LED PWM,16000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1600rpm,45.1CFM,,18dBA,26.1dBA,검정,검정,빨강,링,
,108,[BRAVOTEC] JONSBO FR-531 LED RGB,29000,BRAVOTEC,120mm,25T,Hydraulic,6핀,750rpm,1300rpm,42.6CFM,,18dBA,25.6dBA,투명,검정,RGB (Cont),팬,
,109,[BRAVOTEC] JONSBO FR-101 WHITE LED PWM,24000,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1800rpm,48.84CFM,,15.2dBA,29.6dBA,크롬,검정,흰색,팬,
,110,[BRAVOTEC] JONSBO FR-101 RED LED PWM,19100,BRAVOTEC,120mm,25T,2볼,4핀,600rpm,1800rpm,48.84CFM,,15.2dBA,29.6dBA,크롬,검정,빨강,팬,
,111,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED RGB,47000,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,50.5CFM,,18.5dBA,25.4dBA,투명,검정,256C (Cont),링,
,112,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED RED,47000,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,50.5CFM,,18.5dBA,25.4dBA,투명,검정,빨강,링,
,113,[BRAVOTEC] JONSBO SOLAR ECLIPSE LED GREEN,47000,BRAVOTEC,120mm,25T,슬리브,6핀,800rpm,1200rpm,50.5CFM,,18.5dBA,25.4dBA,투명,검정,녹색,링,
,114,[COLORFUL] LUNA SQUARE BLUE,8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,36CFM,1.1mmH2O,,,투명,검정,파랑,링,
,115,[COLORFUL] LUNA SQUARE RED,8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,36CFM,1.1mmH2O,,,투명,검정,빨강,링,
,116,[COLORFUL] LUNA SQUARE GREEN,8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,36CFM,1.1mmH2O,,,투명,검정,녹색,링,
,117,[COLORFUL] LUNA SQUARE WHITE,8080,COLORFUL,120mm,25T,Hydraulic,4핀,,1100rpm,36CFM,1.1mmH2O,,,투명,검정,흰색,링,
,118,[CORSAIR] ML120 PRO RGB (3PACK/Controller),158040,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,1600rpm,47.3CFM,1.78mmH2O,,25dBA,흰색,검정,RGB (Cont),팬,5년
,119,[CORSAIR] ML120 PRO RGB (1PACK),43880,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,1600rpm,47.3CFM,1.78mmH2O,,25dBA,흰색,검정,RGB (Cont),팬,5년
,120,[CORSAIR] LL120 (3PACK/Controller),176800,CORSAIR,120mm,25T,Hydraulic,4핀,600rpm,1500rpm,43.25CFM,1.61mmH2O,,24.8dBA,흰색,검정,RGB (Cont),팬/링,2년
,121,[CORSAIR] LL120 (1PACK),48880,CORSAIR,120mm,25T,Hydraulic,4핀,600rpm,1500rpm,43.25CFM,1.61mmH2O,,24.8dBA,흰색,검정,RGB (Cont),팬/링,2년
,122,[CORSAIR] SP120 RGB (3PACK/Controller),102960,CORSAIR,120mm,25T,Hydraulic,3핀,,1400rpm,52CFM,1.45mmH2O,,26dBA,흰색,검정,RGB (Cont),팬,2년
,123,[CORSAIR] SP120 RGB (1PACK),31000,CORSAIR,120mm,25T,Hydraulic,3핀,,1400rpm,52CFM,1.45mmH2O,,26dBA,흰색,검정,RGB (Cont),팬,2년
,124,[CORSAIR] HD120 (3PACK/Controller),135000,CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,54.4CFM,2.25mmH2O,18dBA,30dBA,흰색,검정,RGB (Cont),팬,2년
,125,[CORSAIR] HD120 (1PACK/Controller),60000,CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,54.4CFM,2.25mmH2O,18dBA,30dBA,흰색,검정,RGB (Cont),팬,2년
,126,[CORSAIR] HD120 (1PACK),40000,CORSAIR,120mm,25T,유체,4핀,800rpm,1725rpm,54.4CFM,2.25mmH2O,18dBA,30dBA,흰색,검정,RGB (Cont),팬,2년
,127,[CORSAIR] ML120 PRO LED White,42850,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,75CFM,4.2mmH2O,16dBA,37dBA,투명,검정,흰색,팬,5년
,128,[CORSAIR] ML120 PRO LED Blue,39900,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,75CFM,4.2mmH2O,16dBA,37dBA,투명,검정,파랑,팬,5년
,129,[CORSAIR] ML120 PRO LED Red,39520,CORSAIR,120mm,25T,Magnetic,4핀,400rpm,2400rpm,75CFM,4.2mmH2O,16dBA,37dBA,투명,검정,빨강,팬,5년
,130,[CORSAIR] SP120 LED 퍼플,15000,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,57.24CFM,1.6mmH2O,,26.4dBA,투명,검정,보라,팬,
,131,[CORSAIR] SP120 LED 그린,24500,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,57.24CFM,1.6mmH2O,,26.4dBA,투명,검정,녹색,팬,
,132,[CORSAIR] SP120 LED 블루,24500,CORSAIR,120mm,25T,슬리브,3핀,,1550rpm,57.24CFM,1.6mmH2O,,26.4dBA,투명,검정,파랑,팬,
,133,[COUGAR] DUAL-X 120mm LED 화이트,15710,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,64.37CFM,1.74mmH2O,,16.6dBA,흰색,검정,흰색,팬,
,134,[COUGAR] DUAL-X 120mm LED 블루,15000,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,64.37CFM,1.74mmH2O,,16.6dBA,파랑,검정,파랑,팬,
,135,[COUGAR] DUAL-X 120mm LED 레드,15710,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,64.37CFM,1.74mmH2O,,16.6dBA,빨강,검정,빨강,팬,
,136,[COUGAR] DUAL-X 120mm LED 그린,15000,COUGAR,120mm,25T,Hydraulic,3핀,,1200rpm,64.37CFM,1.74mmH2O,,16.6dBA,녹색,검정,녹색,팬,
,137,[CRYORIG] QF120 BALANCE,16630,CRYORIG,120mm,25T,HPLN,4핀,330rpm,1600rpm,49CFM,1.65mmH2O,10dBA,25dBA,흰색,검정,,,3년
,138,[CRYORIG] QF120 PERFORMANCE,16630,CRYORIG,120mm,25T,HPLN,4핀,600rpm,2200rpm,83CFM,3.33mmH2O,13dBA,37dBA,흰색,검정,,,3년
,139,[CRYORIG] QF120 SILENT,16630,CRYORIG,120mm,25T,HPLN,4핀,200rpm,1000rpm,44CFM,0.79mmH2O,5dBA,19dBA,흰색,검정,,,3년
,140,[DEEPCOOL] RF120 RGB 아우라 싱크 PWM BRAVOTEC (3PACK),57700,DEEPCOOL,120mm,25T,Hydro,4핀,500rpm,1500rpm,56.5CFM,,17.8dBA,27dBA,투명,검정,RGB (MB),팬,1년
,141,[DEEPCOOL] RF120 RGB 아우라 싱크 PWM BRAVOTEC (1PACK),18360,DEEPCOOL,120mm,25T,Hydro,4핀,500rpm,1500rpm,56.5CFM,,17.8dBA,27dBA,투명,검정,RGB (MB),팬,1년
,142,[Fractal Design] Dynamic X2 GP-12B,17220,Fractal Design,120mm,25T,LLS,3핀,,1200rpm,52.3CFM,0.88mmH2O,,19.4dBA,검정,검정,,,2년
