,,,RAM 품목,가격,회사,클럭 ,램 규격,개수,용량,타이밍,전압,XMP,색깔,LED
142,GeIL,,[GeIL] DDR4 4G PC4-17000 CL15 EVO-X RGB,\57410,GeIL,2133 Mhz,DDR4,1개,4GB,15-15-15-36,1.2V,O,검정,RGB
143,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 EVO-X RGB,\69060,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,검정,RGB
144,GeIL,, ,,GeIL, ,,,,,,,,
145,GeIL,,[GeIL] DDR4 16G PC4-17000 CL15 EVO-X 화이트 RGB,\216300,GeIL,2133 Mhz,DDR4,1개,16GB,15-15-15-36,1.2V,O,흰색,RGB
146,GeIL,,[GeIL] DDR4 16G PC4-19200 CL17 EVO-X 화이트 RGB,\234450,GeIL,2400 Mhz,DDR4,1개,16GB,17-17-17-39,1.2V,O,흰색,RGB
147,GeIL,,[GeIL] DDR4 16G PC4-24000 CL15 EVO-X 화이트 RGB (8G X 2),\-,GeIL,3000 Mhz,DDR4,2개,16GB,15-17-17-35,1.35V,O,흰색,RGB
148,GeIL,,[GeIL] DDR4 8G PC4-17000 CL15 EVO-X 화이트 RGB,\113700,GeIL,2133 Mhz,DDR4,1개,8GB,15-15-15-36,1.2V,O,흰색,RGB
149,GeIL,,[GeIL] DDR4 4G PC4-17000 CL15 EVO-X 화이트 RGB,\71000,GeIL,2133 Mhz,DDR4,1개,4GB,15-15-15-36,1.2V,O,흰색,RGB
150,GeIL,,[GeIL] DDR4 4G PC4-19200 CL16 EVO-X 화이트 RGB,\70700,GeIL,2400 Mhz,DDR4,1개,4GB,16-16-16-36,1.2V,O,흰색,RGB
151,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 EVO-X 화이트 RGB,\70000,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,흰색,RGB
152,GeIL,, ,,GeIL, ,,,,,,,,
153,GeIL,,[GeIL] DDR4 16G PC4-24000 CL16 SUPER LUCE RGB Sync 블랙 (8G X 2),\280900,GeIL,3000 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,검정,RGB
154,GeIL,,[GeIL] DDR4 8G PC4-17000 CL15 SUPER LUCE RGB Sync 블랙,\118210,GeIL,2133 Mhz,DDR4,1개,8GB,15-17-17-35,1.2V,O,검정,RGB
155,GeIL,,[GeIL] DDR4 8G PC4-19200 CL17 SUPER LUCE RGB Sync 블랙,\121000,GeIL,2400 Mhz,DDR4,1개,8GB,17-17-17-39,1.2V,O,검정,RGB
156,GeIL,,[GeIL] DDR4 8G PC4-21300 CL16 SUPER LUCE RGB Sync 블랙,\130700,GeIL,2666 Mhz,DDR4,1개,8GB,16-18-18-36,1.35V,O,검정,RGB
157,GeIL,,[GeIL] DDR4 4G PC4-17000 CL15 SUPER LUCE RGB Sync 블랙,\67800,GeIL,2133 Mhz,DDR4,1개,4GB,15-15-15-36,1.2V,O,검정,RGB
158,GeIL,,[GeIL] DDR4 4G PC4-19200 CL17 SUPER LUCE RGB Sync 블랙,\72600,GeIL,2400 Mhz,DDR4,1개,4GB,17-17-17-39,1.2V,O,검정,RGB
159,GeIL,, ,,GeIL, ,,,,,,,,
160,GeIL,,[GeIL] DDR4 16G PC4-24000 CL16 SUPER LUCE RGB Sync 화이트 (8G X 2),\285700,GeIL,3000 Mhz,DDR4,2개,16GB,16-18-18-36,1.35V,O,흰색,RGB
