,,,제품,가격,제조사,종류,E-ATX,ATX,m-ATX,m-ITX,측면,폭,높이,깊이,VGA 장착길이,쿨러 최대높이,외부 색깔,내부 색깔
361,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-OMEGA RED,\158000,CORSAIR,미들타워,,O,O,O,강화유리,232mm,495mm,516mm,370mm,170mm,,
362,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-OMEGA BLACK,\158000,CORSAIR,미들타워,,O,O,O,강화유리,232mm,495mm,516mm,370mm,170mm,,
363,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-OMEGA WHITE,\158000,CORSAIR,미들타워,,O,O,O,강화유리,232mm,495mm,516mm,370mm,170mm,,
364,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-04 Tempered Glass,\95710,CORSAIR,미들타워,,O,O,O,강화유리,201mm,433mm,492mm,370mm,150mm,,
365,미들타워,,[CORSAIR] CRYSTAL SERIES 570X RGB 레드,\272000,CORSAIR,미들타워,,O,O,O,강화유리,234mm,512mm,480mm,370mm,170mm,검빨,
366,미들타워,,[CORSAIR] CRYSTAL SERIES 570X RGB 화이트,\273790,CORSAIR,미들타워,,O,O,O,강화유리,234mm,512mm,480mm,370mm,170mm,검흰,흰색
367,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-04 그레이,\83900,CORSAIR,미들타워,,O,O,O,아크릴,201mm,492mm,433mm,370mm,150mm,검회,
368,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-04 옐로우,\84000,CORSAIR,미들타워,,O,O,O,아크릴,201mm,492mm,433mm,370mm,150mm,검노,
369,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-04 레드,\84000,CORSAIR,미들타워,,O,O,O,아크릴,201mm,492mm,433mm,370mm,150mm,검빨,
370,빅타워(RTX),,[CORSAIR] CARBIDE SERIES CLEAR 600C 화이트,\218250,CORSAIR,빅타워(RTX),O,O,O,O,아크릴,260mm,535mm,454mm,370mm,200mm,흰색,
371,미들타워,,[CORSAIR] CRYSTAL SERIES 570X RGB 블랙,\267570,CORSAIR,미들타워,,O,O,O,강화유리,234mm,512mm,480mm,370mm,170mm,,
372,미들타워,,[CORSAIR] CARBIDE SERIES 270R Windowed,\95000,CORSAIR,미들타워,,O,O,O,아크릴,210mm,460mm,509mm,370mm,170mm,,
373,미들타워,,[CORSAIR] CARBIDE SERIES 270R Standard,\87000,CORSAIR,미들타워,,O,O,O,,210mm,460mm,509mm,370mm,170mm,,
374,미들타워,,[CORSAIR] CRYSTAL SERIES 460X,\145850,CORSAIR,미들타워,,O,O,O,강화유리,220mm,464mm,440mm,370mm,170mm,,
375,미들타워,,[CORSAIR] CRYSTAL SERIES 460X RGB,\204500,CORSAIR,미들타워,,O,O,O,강화유리,220mm,464mm,440mm,370mm,170mm,,
376,미들타워,,[CORSAIR] CARBIDE SERIES AIR 740,\223120,CORSAIR,미들타워,,O,O,O,아크릴,340mm,510mm,426mm,330mm,170mm,,
377,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-ALPHA Black & Yellow,\124000,CORSAIR,미들타워,,O,O,O,아크릴,220mm,518mm,474mm,380mm,156mm,검노,
378,미들타워,,[CORSAIR] CARBIDE SERIES CLEAR 400C 화이트,\156840,CORSAIR,미들타워,O,O,O,O,아크릴,215mm,425mm,464mm,370mm,170mm,흰색,
379,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-ALPHA 화이트 & 레드,\120000,CORSAIR,미들타워,,O,O,O,아크릴,220mm,518mm,474mm,380mm,156mm,흰빨,
380,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-ALPHA Black & Red,\120000,CORSAIR,미들타워,,O,O,O,아크릴,220mm,518mm,474mm,380mm,156mm,검빨,
381,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-ALPHA Black & Yellow,\120000,CORSAIR,미들타워,,O,O,O,아크릴,220mm,518mm,474mm,380mm,156mm,검노,
382,미들타워,,[CORSAIR] CARBIDE SERIES SPEC-ALPHA Black & Silver,\129000,CORSAIR,미들타워,,O,O,O,아크릴,220mm,518mm,474mm,380mm,156mm,검은,
383,미들타워,,[CORSAIR] CARBIDE SERIES QUIET 400Q,\151000,CORSAIR,미들타워,O,O,O,O,,215mm,425mm,464mm,370mm,170mm,,
384,미들타워,,[CORSAIR] CARBIDE SERIES CLEAR 400C,\153490,CORSAIR,미들타워,O,O,O,O,아크릴,215mm,425mm,464mm,370mm,170mm,,
385,미니타워,,[CORSAIR] CARBIDE SERIES 88R,\68900,CORSAIR,미니타워,,,O,O,아크릴,198mm,378mm,448mm,383mm,150mm,,
386,빅타워(RTX),,[CORSAIR] CARBIDE SERIES CLEAR 600C,\192000,CORSAIR,빅타워(RTX),O,O,O,O,아크릴,260mm,535mm,454mm,370mm,200mm,,
387,빅타워,,[CORSAIR] CARBIDE SERIES QUIET 600Q,\197800,CORSAIR,빅타워,O,O,O,O,,260mm,535mm,454mm,370mm,200mm,,
388,빅타워,,[CORSAIR] OBSIDIAN 750D Airflow,\214810,CORSAIR,빅타워,O,O,O,O,아크릴,235mm,560mm,546mm,450mm,170mm,,
389,미들타워,,[CORSAIR] CARBIDE SERIES 100R Window Edition,\74830,CORSAIR,미들타워,,O,O,O,아크릴,200mm,430mm,471mm,414mm,150mm,,
390,미들타워,,[CORSAIR] CARBIDE SERIES 100R Silent Edition,\87000,CORSAIR,미들타워,,O,O,O,,200mm,430mm,471mm,414mm,150mm,,
391,미들타워,,[CORSAIR] CARBIDE SERIES 330R Blackout Edition,\167850,CORSAIR,미들타워,O,O,O,,,210mm,495mm,484mm,420mm,160mm,,
392,미들타워,,[CORSAIR] CARBIDE SERIES 330R Titanium Edition,\167850,CORSAIR,미들타워,O,O,O,O,,210mm,495mm,484mm,450mm,160mm,은색,
393,빅타워,,[CORSAIR] GRAPHITE SERIES 780T BLACK,\290170,CORSAIR,빅타워,O,O,O,O,아크릴,288mm,602mm,637mm,355mm,200mm,,
394,빅타워,,[CORSAIR] GRAPHITE SERIES 780T 화이트,\303050,CORSAIR,빅타워,O,O,O,O,아크릴,288mm,602mm,637mm,355mm,200mm,흰색,
395,리틀밸리,,[CORSAIR] GRAPHITE 380T 화이트,\238000,CORSAIR,리틀밸리,,,,O,,292mm,356mm,393mm,290mm,150mm,흰색,
396,미니타워,,[CORSAIR] AIR 240 Black,\145980,CORSAIR,미니타워,,,O,O,아크릴,260mm,320mm,397mm,290mm,120mm,,
397,미니타워,,[CORSAIR] AIR 240 화이트,\142000,CORSAIR,미니타워,,,O,O,아크릴,260mm,320mm,397mm,290mm,120mm,흰색,
398,미들타워,,[CORSAIR] OBSIDIAN 450D,\168250,CORSAIR,미들타워,O,O,O,O,아크릴,210mm,497mm,494mm,430mm,165mm,,
399,미들타워,,[CORSAIR] CARBIDE SERIES AIR 540 화이트,\183000,CORSAIR,미들타워,O,O,O,O,아크릴,332mm,415mm,458mm,320mm,170mm,흰색,
400,미니타워,,[CORSAIR] OBSIDIAN 250D,\161200,CORSAIR,미니타워,,,,O,,277mm,290mm,391mm,290mm,95mm,,
401,미들타워,,[CORSAIR] CARBIDE SERIES AIR 540 Silver,\187000,CORSAIR,미들타워,O,O,O,O,아크릴,332mm,415mm,458mm,320mm,170mm,은색,
402,빅타워,,[CORSAIR] OBSIDIAN 750D ,\214370,CORSAIR,빅타워,O,O,O,O,아크릴,235mm,560mm,546mm,450mm,170mm,,
403,미들타워,,[CORSAIR] CARBIDE SERIES AIR 540,\185960,CORSAIR,미들타워,O,O,O,O,아크릴,332mm,415mm,458mm,320mm,170mm,,
404,빅타워,,[CORSAIR] OBSIDIAN 900D,\517920,CORSAIR,빅타워,O,O,O,O,아크릴,252mm,692mm,650mm,540mm,180mm,,
405,미니타워,,[CORSAIR] OBSIDIAN 350D,\162370,CORSAIR,미니타워,,,O,O,아크릴,210mm,450mm,440mm,380mm,160mm,,
406,미들타워,,[CORSAIR] CARBIDE SERIES 200R,\78000,CORSAIR,미들타워,,O,O,,,210mm,430mm,497mm,410mm,,,
407,,, ,,,,,,,,,,,,,,,
408,,,-- Fractal Design --,,,,,,,,,,,,,,,
409,,, ,,,,,,,,,,,,,,,
410,미들타워,,[Fractal Design] Meshify C White 강화유리,\132000,Fractal Design,미들타워,,O,O,O,강화유리,217mm,440mm,395mm,335mm,172mm,,
411,미니타워,,[Fractal Design] Meshify C Mini Dark TG,\123000,Fractal Design,미니타워,,,O,O,강화유리,217mm,412mm,409mm,335mm,172mm,,
412,미들타워,,[Fractal Design] Meshify C Solid,\111000,Fractal Design,미들타워,,O,O,O,,212mm,440mm,395mm,335mm,170mm,,
413,미들타워,,[Fractal Design] Meshify C Light tint 강화유리,\129000,Fractal Design,미들타워,,O,O,O,강화유리,217mm,440mm,395mm,335mm,172mm,,
414,미들타워,,[Fractal Design] Define R6 Blackout,\188000,Fractal Design,미들타워,,O,O,O,강화유리,233mm,465mm,543mm,440mm,185mm,,
415,미들타워,,[Fractal Design] Define R6 Blackout 강화유리,\212000,Fractal Design,미들타워,,O,O,O,강화유리,233mm,465mm,543mm,440mm,185mm,,
416,미들타워,,[Fractal Design] Meshify C 강화유리,\128000,Fractal Design,미들타워,,O,O,O,강화유리,217mm,440mm,395mm,335mm,172mm,,
417,미니타워,,[Fractal Design] Define Mini C 강화유리,\124000,Fractal Design,미니타워,,,O,O,강화유리,210mm,412mm,413mm,315mm,168mm,,
418,미들타워,,[Fractal Design] Define C 강화유리,\133000,Fractal Design,미들타워,,O,O,O,강화유리,210mm,453mm,413mm,315mm,168mm,,
419,미들타워,,[Fractal Design] Define XL R2 Black Pearl,\175000,Fractal Design,미들타워,O,O,O,O,,232mm,559mm,560mm,480mm,180mm,,
420,미들타워,,[Fractal Design] Define XL R2 Titanium Grey,\175000,Fractal Design,미들타워,O,O,O,O,,232mm,559mm,560mm,480mm,180mm,회색,
421,미들타워,,[Fractal Design] Define C,\118000,Fractal Design,미들타워,,O,O,O,,210mm,453mm,413mm,315mm,168mm,,
422,미들타워,,[Fractal Design] Define R5 Blackout,\163000,Fractal Design,미들타워,,O,O,O,,232mm,451mm,521mm,440mm,180mm,,
423,미니타워,,[Fractal Design] Define Mini C,\111000,Fractal Design,미니타워,,,O,O,,210mm,412mm,413mm,315mm,168mm,,
424,리틀밸리,,[Fractal Design] NODE 304 화이트,\107000,Fractal Design,리틀밸리,,,,O,,250mm,210mm,374mm,310mm,165mm,흰색,흰색
425,리틀밸리,,[Fractal Design] NODE 304 Black,\107000,Fractal Design,리틀밸리,,,,O,,250mm,210mm,374mm,310mm,165mm,,
426,미들타워,,[Fractal Design] Define R5 화이트,\163000,Fractal Design,미들타워,,O,O,O,,232mm,451mm,521mm,440mm,180mm,흰색,흰색
427,미들타워,,[Fractal Design] Define R5 Blackout Window,\171000,Fractal Design,미들타워,,O,O,O,아크릴,232mm,451mm,521mm,440mm,180mm,,
428,미들타워,,[Fractal Design] Define S window,\125000,Fractal Design,미들타워,,O,O,O,아크릴,233mm,451mm,520mm,450mm,180mm,,
429,미들타워,,[Fractal Design] Define R5 Titanium,\155410,Fractal Design,미들타워,,O,O,O,,232mm,451mm,521mm,440mm,180mm,은색,
430,미들타워,,[Fractal Design] Define C Window,\119000,Fractal Design,미들타워,,O,O,O,,210mm,453mm,413mm,315mm,168mm,,
431,미들타워,,[Fractal Design] Define R5 Titanium Window,\171000,Fractal Design,미들타워,,O,O,O,아크릴,232mm,451mm,521mm,440mm,180mm,은색,
432,미들타워,,[Fractal Design] Define R5 화이트 Window,\171000,Fractal Design,미들타워,,O,O,O,아크릴,232mm,451mm,521mm,440mm,180mm,흰색,흰색
433,미들타워,,[Fractal Design] Define R5 화이트&골드 Window,\171000,Fractal Design,미들타워,,O,O,O,아크릴,232mm,451mm,521mm,440mm,180mm,흰색,흰금
434,미니타워,,[Fractal Design] Define Mini C Window,\125800,Fractal Design,미니타워,,,O,O,아크릴,210mm,412mm,413mm,315mm,168mm,,
435,미니타워,,[Fractal Design] NODE 804,\143000,Fractal Design,미니타워,,,O,O,아크릴,344mm,307mm,389mm,320mm,160mm,,
436,리틀밸리,,[Fractal Design] NODE 202,\113000,Fractal Design,리틀밸리,,,,O,,377mm,82mm,330mm,310mm,56mm,,
437,리틀밸리,,[Fractal Design] Define Nano S Window,\99000,Fractal Design,리틀밸리,,,,O,아크릴,203mm,330mm,400mm,335mm,160mm,,
438,미들타워,,[Fractal Design] CORE 3500 WINDOW,\125000,Fractal Design,미들타워,O,O,O,O,아크릴,322mm,465mm,517mm,430mm,180mm,,
439,리틀밸리,,[Fractal Design] Define Nano S,\116160,Fractal Design,리틀밸리,,,,O,,203mm,330mm,400mm,335mm,160mm,,
440,미들타워,,[Fractal Design] Define S,\117480,Fractal Design,미들타워,,O,O,O,,233mm,451mm,520mm,450mm,180mm,,
441,미들타워,,[Fractal Design] ARC Midi R2,\125000,Fractal Design,미들타워,,O,O,O,아크릴,230mm,460mm,515mm,430mm,180mm,,
442,,, ,,,,,,,,,,,,,,,
443,,,-- IN WIN --,,,,,,,,,,,,,,,
444,,, ,,,,,,,,,,,,,,,
445,미니타워,,[IN WIN] 301 화이트,\84500,IN WIN,미니타워,,,O,O,강화유리,188mm,365mm,370mm,330mm,158mm,흰색,
446,미니타워,,[IN WIN] 301 블랙,\84500,IN WIN,미니타워,,,O,O,강화유리,188mm,365mm,370mm,330mm,158mm,,
447,미들타워,,[IN WIN] 805 인피니티 블랙,\359000,IN WIN,미들타워,,O,O,O,강화유리,205mm,476mm,472.5mm,320mm,156mm,,
448,미들타워,,[IN WIN] 303 화이트,\105000,IN WIN,미들타워,,O,O,O,강화유리,2125mm,500mm,480mm,350mm,160mm,흰색,
449,미들타워,,[IN WIN] 303 블랙,\105000,IN WIN,미들타워,,O,O,O,강화유리,2125mm,500mm,480mm,350mm,160mm,,
450,미니타워,,[IN WIN] EN-021 USB3.0,\28780,IN WIN,미니타워,,,O,,,168mm,360mm,390mm,330mm,145mm,,
451,미니타워,,[IN WIN] EM058 USB3.0,\42000,IN WIN,미니타워,,,O,O,,190mm,350mm,380mm,350mm,165mm,검빨,
452,빅타워,,[IN WIN] 909 X-VIEW 블랙,\436000,IN WIN,빅타워,O,O,O,,강화유리,231mm,540mm,575mm,320mm,175mm,검빨,
453,미니타워,,[IN WIN] EF-054 USB3.0,\32600,IN WIN,미니타워,,,O,O,,170mm,350mm,390mm,330mm,145mm,,
454,미들타워,,[IN WIN] 805 TG3.0 레드,\158000,IN WIN,미들타워,,O,O,,강화유리,205mm,476mm,455mm,320mm,156mm,검빨,
455,빅타워,,[IN WIN] 909 X-VIEW,\436000,IN WIN,빅타워,O,O,O,,강화유리,231mm,540mm,575mm,320mm,175mm,은색,
456,미들타워,,[IN WIN] 805 TG3.0 블랙,\-,IN WIN,미들타워,,O,O,,강화유리,205mm,476mm,455mm,320mm,156mm,,
457,빅타워,,[IN WIN] GR ONE 화이트 EDGE 3.0,\127900,IN WIN,빅타워,O,O,,,아크릴,245mm,562mm,593mm,340mm,200mm,흰색,흰색
458,빅타워,,[IN WIN] GR ONE 블랙 EDGE 3.0,\132900,IN WIN,빅타워,O,O,,,아크릴,245mm,562mm,593mm,340mm,200mm,검빨,
459,미들타워,,[IN WIN] 703 게이밍 블랙,\49000,IN WIN,미들타워,,O,O,O,아크릴,210mm,432mm,477mm,408mm,170mm,검빨,
460,미니타워,,[IN WIN] Z645 USB 3.0,\44500,IN WIN,미니타워,,,O,O,,180mm,363mm,370mm,320mm,155mm,,
461,미니타워,,[IN WIN] Z583 블랙 USB 3.0,\44500,IN WIN,미니타워,,,O,O,,180mm,363mm,370mm,320mm,155mm,,
462,미들타워,,[IN WIN] C583 블랙 USB 3.0,\52500,IN WIN,미들타워,,O,O,,,190mm,423mm,435mm,280mm,165mm,,
463,빅타워,,[IN WIN] 707 게이밍 블랙,\89000,IN WIN,빅타워,O,O,,,아크릴,243mm,532mm,582mm,365mm,206mm,검빨,
464,미들타워,,[IN WIN] G7 다크니스,\42500,IN WIN,미들타워,,O,O,O,,198mm,461mm,479mm,409mm,165mm,,
465,미들타워,,[IN WIN] EA047 USB3.0,\35000,IN WIN,미들타워,,O,O,O,,220mm,415mm,445mm,400mm,165mm,,
466,미니타워,,[IN WIN] EM048 USB3.0,\35500,IN WIN,미니타워,,,O,O,,190mm,350mm,380mm,350mm,165mm,,
467,미니타워,,[IN WIN] BL634 USB 3.0 화이트,\44000,IN WIN,미니타워,,,O,O,,96mm,330mm,365mm,220mm,,흰색,
468,빅타워,,[IN WIN] GR ONE USB 3.0 화이트,\143600,IN WIN,빅타워,O,O,,,아크릴,245mm,562mm,593mm,340mm,200mm,흰색,흰색
469,,, ,,,,,,,,,,,,,,,
470,,,-- SilverStone --,,,,,,,,,,,,,,,
471,,, ,,,,,,,,,,,,,,,
472,리틀밸리,,[SilverStone] RVZ03B,\135000,SilverStone,리틀밸리,,,,O,,382mm,105mm,350mm,330mm,83mm,,
473,미들타워,,[SilverStone] Redline R707W-G,\119830,SilverStone,미들타워,,O,O,,강화유리,226mm,488mm,465mm,415mm,167mm,,
474,미들타워,,[SilverStone] SST-CS380B,\172000,SilverStone,미들타워,,O,O,O,,215mm,426mm,488mm,241mm,146mm,,
475,리틀밸리,,[SilverStone] Precision SST-PT13B-USB3.0,\76000,SilverStone,리틀밸리,,,,O,,186mm,42mm,181mm,,30mm,,
476,미들타워,,[SilverStone] Precision PS14B-W,\58000,SilverStone,미들타워,,O,O,,,210mm,485mm,458.6mm,401mm,165mm,,
477,미들타워,,[SilverStone] Redline RL07B-G,\123760,SilverStone,미들타워,,O,O,,강화유리,226mm,488mm,465mm,415mm,167mm,,
478,미들타워,,[SilverStone] Primera PM02W-G,\155410,SilverStone,미들타워,,O,O,,강화유리,,,,415mm,,,
479,리틀밸리,,[SilverStone] RAVEN RVZ03W,\150230,SilverStone,리틀밸리,,,,O,,105mm,382mm,350mm,330mm,150mm,,
480,미들타워,,[SilverStone] Redline RL06WS-GP iBORA,\116000,SilverStone,미들타워,,O,O,,강화유리,200mm,477mm,455mm,348mm,158mm,흰검,
481,미들타워,,[SilverStone] Redline RL06BR-GP iBORA,\116000,SilverStone,미들타워,,O,O,,강화유리,200mm,477mm,455mm,348mm,158mm,검빨,
482,미들타워,,[SilverStone] Precision PS14B iBORA,\53040,SilverStone,미들타워,,O,O,,,210mm,465mm,458.6mm,401mm,165mm,,
483,미들타워,,[SilverStone] Redline RL06WS-PRO iBORA,\113300,SilverStone,미들타워,,O,O,,아크릴,200mm,477mm,455mm,348mm,158mm,흰색,
484,미들타워,,[SilverStone] Redline RL06BR-PRO iBORA,\113300,SilverStone,미들타워,,O,O,,아크릴,200mm,477mm,455mm,348mm,158mm,검빨,
485,미들타워,,[SilverStone] Kublai KL07B iBORA,\122650,SilverStone,미들타워,,O,O,,,222mm,510mm,467mm,388mm,172mm,,
486,미들타워,,[SilverStone] Redline RL05BR-W iBORA,\89000,SilverStone,미들타워,,O,O,,아크릴,210mm,465mm,450mm,373mm,165mm,검빨,
487,리틀밸리,,[SilverStone] RAVEN RVZ01B-E iBORA,\120700,SilverStone,리틀밸리,,,,O,,382mm,105mm,350mm,330mm,83mm,,
488,리틀밸리,,[SilverStone] Milo ML09B iBORA,\87550,SilverStone,리틀밸리,,,,O,,350mm,109mm,205mm,175mm,70mm,,
489,리틀밸리,,[SilverStone] Sugo SG13WB-Q iBORA,\64890,SilverStone,리틀밸리,,,,O,,222mm,181mm,285mm,266mm,61mm,흰색,흰색
490,미들타워,,[SilverStone] Precision PS13B-W iBORA,\62310,SilverStone,미들타워,,O,O,,아크릴,182mm,426mm,400mm,347mm,159mm,,
491,미들타워,,[SilverStone] Precision PS13B iBORA,\58710,SilverStone,미들타워,,O,O,,,182mm,426mm,400mm,347mm,162mm,,
492,미들타워,,[SilverStone] PRIMERA PM01WA-W iBORA,\129990,SilverStone,미들타워,,O,O,,아크릴,220mm,571mm,560mm,419mm,180mm,흰색,
493,미들타워,,[SilverStone] PRIMERA PM01BR-W iBORA,\129990,SilverStone,미들타워,,O,O,,아크릴,220mm,571mm,560mm,419mm,180mm,검빨,
494,미니타워,,[SilverStone] Precision PS12B iBORA,\52320,SilverStone,미니타워,,,O,O,,170mm,360mm,405mm,360mm,140mm,,
495,미들타워,,[SilverStone] RAVEN RVX01BR-W iBORA,\123350,SilverStone,미들타워,,O,O,,아크릴,215mm,485mm,500mm,347mm,162mm,검빨,
496,리틀밸리,,[SilverStone] RAVEN RVZ02B-W iBORA,\120000,SilverStone,리틀밸리,,,,O,,380mm,87mm,370mm,330mm,58mm,,
497,리틀밸리,,[SilverStone] RAVEN RVZ02B IBORA,\104340,SilverStone,리틀밸리,,,,O,,380mm,87mm,370mm,330mm,58mm,,
498,리틀밸리,,[SilverStone] CS01B-HS iBORA,\229950,SilverStone,리틀밸리,,,,O,,210.5mm,322mm,210mm,,68mm,,
499,리틀밸리,,[SilverStone] Sugo SG13WB iBORA,\62400,SilverStone,리틀밸리,,,,O,,222mm,181mm,285mm,266mm,61mm,흰색,흰색
500,리틀밸리,,[SilverStone] Petit Series PT13B iBORA,\72310,SilverStone,리틀밸리,,,,O,,186mm,42mm,181mm,,30mm,,
501,미들타워,,[SilverStone] RAVEN RV05WB-W iBORA,\173000,SilverStone,미들타워,,O,O,,아크릴,242mm,529mm,498mm,310mm,162mm,흰색,
502,리틀밸리,,[SilverStone] Sugo SG13B-Q iBORA,\62170,SilverStone,리틀밸리,,,,O,,222mm,181mm,285mm,267mm,61mm,,
503,미니타워,,[SilverStone] Sugo SG11B iBORA,\91170,SilverStone,미니타워,,,O,O,,270mm,212mm,393mm,366mm,82mm,,
504,리틀밸리,,[SilverStone] Sugo SG13B iBORA,\60000,SilverStone,리틀밸리,,,,O,,222mm,181mm,285mm,266mm,61mm,,
505,미들타워,,[SilverStone] Precision PS11B-Q iBORA,\67860,SilverStone,미들타워,,O,O,,,215.3mm,426.5mm,481.5mm,411mm,161mm,,
506,미들타워,,[SilverStone] Kublai KL05B-W iBORA,\104400,SilverStone,미들타워,,O,O,,아크릴,200mm,525mm,494mm,406mm,165mm,,
507,미들타워,,[SilverStone] Grandia GD09B iBORA,\109820,SilverStone,미들타워,,O,O,,,440mm,170mm,358mm,309mm,138mm,,
508,미들타워,,[SilverStone] RAVEN RV05B iBORA,\152900,SilverStone,미들타워,,O,O,,,242mm,529mm,498mm,310mm,162mm,,
509,미들타워,,[SilverStone] RAVEN RV05B-W iBORA,\163000,SilverStone,미들타워,,O,O,,아크릴,242mm,529mm,498mm,310mm,162mm,,
510,,, ,,,,,,,,,,,,,,,
511,,,-- 리안리 --,,,,,,,,,,,,,,,
512,,, ,,,,,,,,,,,,,,,
513,리틀밸리,,[리안리] PC-Q38WA 실버,\135200,리안리,리틀밸리,,,,O,아크릴,180mm,295mm,372mm,315mm,140mm,,
514,리틀밸리,,[리안리] PC-Q38WX 블랙,\135200,리안리,리틀밸리,,,,O,아크릴,180mm,295mm,372mm,315mm,140mm,,
515,미들타워,,[리안리] Alpha300 WHITE,\148710,리안리,미들타워,,O,O,O,강화유리,230mm,517mm,495mm,430mm,170mm,,
516,미들타워,,[리안리] Alpha330,\145980,리안리,미들타워,,O,O,O,강화유리,230mm,517mm,495mm,430mm,170mm,,
517,빅타워,,[리안리] PC-V3000,\545300,리안리,빅타워,O,O,,,강화유리,245mm,625mm,605mm,360mm,170mm,,
518,미들타워,,[리안리] PC-8FB 블랙,\133100,리안리,미들타워,,O,O,,,210mm,476mm,500mm,410mm,170mm,,은색
519,미들타워,,[리안리] PC-O11WGX ROG 올블랙 튜닝 윈도우 Ver,\-,리안리,미들타워,O,O,O,O,강화유리,277mm,516mm,457mm,430mm,150mm,,
520,리틀밸리,,[리안리] PC-Q37WX 올블랙 튜닝 윈도우 Ver,\259160,리안리,리틀밸리,,,,O,강화유리,237mm,345mm,346mm,320mm,130mm,,
521,미들타워,,[리안리] PC-O11WW+O11-1W Riser Kit 합본 튜닝 윈도우Ver.,\331620,리안리,미들타워,O,O,O,O,강화유리,277mm,516mm,457mm,430mm,150mm,흰색,흰색
522,미들타워,,[리안리] PC-O11WW 화이트 튜닝 윈도우Ver.,\263030,리안리,미들타워,O,O,O,O,강화유리,277mm,516mm,457mm,430mm,150mm,흰색,흰색
523,미들타워,,[리안리] PC-O11WX+O11-1X Riser Kit 합본 튜닝 윈도우Ver.,\308000,리안리,미들타워,O,O,O,O,강화유리,277mm,516mm,457mm,430mm,150mm,,
524,미들타워,,[리안리] PC-O11WX 올블랙 튜닝 윈도우Ver.,\240000,리안리,미들타워,O,O,O,O,강화유리,277mm,516mm,457mm,430mm,150mm,,
525,미들타워,,[리안리] PC-O8 화이트 Mirror Painting Ver.,\642410,리안리,미들타워,,O,O,,강화유리,341mm,428mm,404mm,370mm,170mm,흰색,
526,미들타워,,[리안리] PC-O7SW 화이트 Mirror Painting Ver.,\640790,리안리,미들타워,,O,,,아크릴,148mm,585mm,514mm,430mm,85mm,흰색,
527,리틀밸리,,[리안리] PC-O5SW 화이트 Mirror Painting Ver.,\486000,리안리,리틀밸리,,,,O,,148mm,465mm,384mm,300mm,85mm,흰색,
528,미들타워,,[리안리] PC-O9WX 올블랙 RGB 튜닝 윈도우Ver.,\585000,리안리,미들타워,O,O,O,,강화유리,354mm,482mm,465mm,290mm,160mm,검흰,
529,미들타워,,[리안리] PC-J60WRX 올블랙/레드 윈도우 Ver.,\269340,리안리,미들타워,,O,O,,아크릴,210mm,507mm,489mm,410mm,160mm,검빨,
530,리틀밸리,,[리안리] PC-Q34RD 레드,\119580,리안리,리틀밸리,,,,O,,228mm,330mm,250mm,220mm,140mm,빨강,빨강
531,미들타워,,[리안리] PC-7N 블랙,\123860,리안리,미들타워,,O,O,O,,210mm,473mm,500mm,370mm,170mm,,
532,미들타워,,[리안리] PC-7N 실버,\122700,리안리,미들타워,,O,O,O,,210mm,473mm,500mm,370mm,170mm,은색,
533,미들타워,,[리안리] PC-O8 메탈블루,\485190,리안리,미들타워,,O,O,,강화유리,341mm,428mm,404mm,370mm,170mm,파랑,
534,빅타워,,[리안리] Computer Desk DK-03X,\1650000,리안리,빅타워,O,O,O,O,강화유리,1300mm,815mm,700mm,440mm,90mm,,
535,미들타워,,[리안리] PC-X510WX,\483780,리안리,미들타워,,O,O,,강화유리,240mm,620mm,436mm,330mm,180mm,,
536,미들타워,,[리안리] PC-TU300X 올블랙,\300000,리안리,미들타워,,O,O,,,218mm,398mm,440mm,300mm,160mm,,
537,미들타워,,[리안리] PC-TU300A 실버,\281000,리안리,미들타워,,O,O,,,218mm,398mm,440mm,300mm,160mm,은색,
538,리틀밸리,,[리안리] PC-Q21B 블랙,\87000,리안리,리틀밸리,,,,O,,149mm,257mm,224mm,190mm,60mm,,
539,리틀밸리,,[리안리] PC-Q21A 실버,\84220,리안리,리틀밸리,,,,O,,149mm,257mm,224mm,190mm,60mm,은색,
540,리틀밸리,,[리안리] PC-Q20W 화이트,\101810,리안리,리틀밸리,,,,O,,149mm,235mm,205mm,170mm,60mm,흰색,흰색
541,미들타워,,[리안리] PC-V33WX 올블랙 윈도우ver.,\302000,리안리,미들타워,,O,O,,강화유리,334mm,352mm,390mm,330mm,190mm,,
542,미들타워,,[리안리] PC-V33B 블랙,\249000,리안리,미들타워,,O,O,,,334mm,352mm,390mm,330mm,190mm,,
543,미들타워,,[리안리] PC-V33A 실버,\240220,리안리,미들타워,,O,O,,,334mm,352mm,390mm,330mm,190mm,은색,
544,리틀밸리,,[리안리] PC-Q17WX,\242100,리안리,리틀밸리,,,,O,,201mm,276mm,407mm,270mm,140mm,,
545,미들타워,,[리안리] PC-O8,\485190,리안리,미들타워,,O,O,,강화유리,341mm,428mm,404mm,370mm,170mm,,
