,,,제품,가격,제조사,종류,E-ATX,ATX,m-ATX,m-ITX,측면,폭,높이,깊이,VGA 장착길이,쿨러 최대높이,외부 색깔,내부 색깔
106,미들타워,,[ABKO] SUITMASTER 350S 강화유리 with HALO 블랙,\54000,ABKO,미들타워,O,O,O,O,강화유리,212mm,503mm,448mm,385mm,162mm,,
107,미들타워,,[COX] A3 인트로 USB3.0 풀 아크릴 윈도우 화이트,\21900,COX,미들타워,,O,O,O,아크릴,193mm,428mm,395mm,380mm,160mm,흰색,
108,미들타워,,[COX] A3 인트로 USB3.0 풀 아크릴 윈도우 블랙,\19900,COX,미들타워,,O,O,O,아크릴,193mm,428mm,395mm,380mm,160mm,,
109,미들타워,,[ABKO] SUITMASTER 330S 강화유리 with HALO 화이트,\63000,ABKO,미들타워,O,O,O,O,강화유리,215mm,500mm,455mm,385mm,162mm,흰색,흰색
110,미들타워,,[ABKO] SUITMASTER 330S 강화유리 with HALO 블랙,\59000,ABKO,미들타워,O,O,O,O,강화유리,215mm,500mm,455mm,385mm,162mm,,
111,빅타워,,[ABKO] SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING 화이트,\155000,ABKO,빅타워,O,O,O,O,강화유리,230mm,515mm,470mm,400mm,165mm,흰색,흰색
112,빅타워,,[ABKO] SUITMASTER 720G RGB 컨트롤 4면 강화유리 with HALO DOUBLING,\149000,ABKO,빅타워,O,O,O,O,강화유리,230mm,515mm,470mm,400mm,165mm,,
113,미들타워,,[ABKO] NCORE 코로나 USB3.0 풀아크릴 윈도우 화이트,\27000,ABKO,미들타워,,O,O,O,아크릴,187mm,440mm,429mm,370mm,156mm,흰색,
114,미들타워,,[ABKO] NCORE 코로나 USB3.0 풀아크릴 윈도우 블랙,\25500,ABKO,미들타워,,O,O,O,아크릴,187mm,440mm,429mm,370mm,156mm,,
115,빅타워(RTX),,[ABKO] SUITMASTER EX201 Xcube 4면 강화유리,\79000,ABKO,빅타워(RTX),O,O,O,O,강화유리,300mm,475mm,380mm,280mm,150mm,,
116,미들타워,,[COX] A3 스캣 USB3.0 풀 아크릴 윈도우,\31500,COX,미들타워,,O,O,O,아크릴,197mm,460mm,413mm,370mm,156mm,,
117,빅타워,,[ABKO] SUITMASTER 801G RGB 컨트롤 3면 강화유리 with HALO DOUBLING,\159000,ABKO,빅타워,O,O,O,O,강화유리,250mm,502mm,530mm,450mm,180mm,,
118,미들타워,,[COX] A3 베이스 USB3.0 풀 아크릴 윈도우,\38000,COX,미들타워,,O,O,O,아크릴,201mm,455mm,450mm,365mm,155mm,,
119,미들타워,,[COX] CX30 USB 3.0,\13600,COX,미들타워,,O,O,O,,195mm,410mm,385mm,340mm,150mm,,
120,미들타워,,[COX] A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 화이트,\53000,COX,미들타워,,O,O,O,아크릴,200mm,432mm,450mm,365mm,155mm,흰색,흰색
121,미들타워,,[COX] A4 이퀄라이저 RGB 컨트롤 풀 아크릴 윈도우 블랙,\49000,COX,미들타워,,O,O,O,아크릴,200mm,432mm,450mm,365mm,155mm,,
122,미들타워,,[COX] A3 첼로 USB3.0 풀 아크릴 윈도우,\30600,COX,미들타워,,O,O,O,아크릴,201mm,425mm,412mm,330mm,160mm,은색,
123,미들타워,,[COX] A3 노빌레 풀아크릴윈도우 with 헤일로X4 화이트,\48000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,458mm,380mm,156mm,흰색,흰색
124,미들타워,,[COX] A3 노빌레 풀아크릴윈도우 with 헤일로X4 블랙,\44000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,458mm,380mm,156mm,,
125,미들타워,,[COX] A3 녹턴 USB3.0 풀 아크릴 윈도우 화이트,\35000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,450mm,380mm,156mm,흰색,흰색
126,미들타워,,[COX] A3 녹턴 USB3.0 풀 아크릴 윈도우 블랙,\32000,COX,미들타워,,O,O,O,아크릴,197mm,447mm,450mm,380mm,156mm,,
127,미들타워,,[ABKO] NCORE G200 타노스 IG USB3.0 강화유리 화이트,\71000,ABKO,미들타워,,O,O,O,강화유리,220mm,475mm,515mm,380mm,162mm,흰색,흰색
128,빅타워,,[ABKO] SUITMASTER 701S USB3.0 강화유리 화이트,\86000,ABKO,빅타워,O,O,O,O,강화유리,220mm,465mm,508mm,400mm,165mm,흰색,흰색
129,미들타워,,[ABKO] A3 밴조 USB3.0 풀 아크릴 윈도우,\23920,ABKO,미들타워,,O,O,O,아크릴,201mm,440mm,435mm,395mm,157mm,,
130,빅타워,,[ABKO] NCORE 플래툰 USB3.0 강화유리 화이트,\49000,ABKO,빅타워,O,O,O,O,강화유리,207mm,472mm,458mm,415mm,165mm,흰색,흰색
131,빅타워,,[ABKO] NCORE 플래툰 USB3.0 강화유리 블랙,\45000,ABKO,빅타워,O,O,O,O,강화유리,207mm,472mm,458mm,415mm,165mm,,
132,미들타워,,[COX] A3 왈츠 USB3.0 풀 아크릴 윈도우,\22000,COX,미들타워,,O,O,O,아크릴,198mm,450mm,442mm,365mm,158mm,,
133,빅타워,,[COX] A7 레가토 USB3.0 강화유리 화이트,\60000,COX,빅타워,O,O,O,O,강화유리,215mm,463mm,467mm,415mm,165mm,흰색,
134,빅타워,,[COX] A7 레가토 USB3.0 강화유리 블랙,\55000,COX,빅타워,O,O,O,O,강화유리,215mm,463mm,467mm,415mm,165mm,회색,
135,미들타워,,[COX] A3 아리아 USB3.0 풀 아크릴 윈도우 튜닝 LED 컨트롤,\29900,COX,미들타워,,O,O,O,아크릴,197mm,455mm,460mm,370mm,156mm,,
136,미들타워,,[ABKO] NCORE F1 스나이퍼 PC방,\11900,ABKO,미들타워,,O,O,O,,178mm,410mm,379mm,285mm,145mm,,
137,미니타워,,[COX] A1 피아노 USB3.0 아크릴 윈도우,\23500,COX,미니타워,,,O,O,아크릴,189mm,360mm,367mm,302mm,155mm,,
138,미들타워,,[COX] A7 토닉 USB3.0 풀 아크릴 윈도우,\42700,COX,미들타워,,O,O,O,아크릴,218mm,457mm,535mm,365mm,160mm,,
139,미들타워,,[ABKO] NCORE 마린 USB3.0,\20000,ABKO,미들타워,,O,O,O,,195mm,415mm,410mm,340mm,155mm,,
140,빅타워,,[ABKO] SUITMASTER 701S USB3.0 강화유리 블랙,\80000,ABKO,빅타워,O,O,O,O,강화유리,220mm,465mm,508mm,400mm,165mm,,
141,미들타워,,[ABKO] NCORE 사파이어 3.0 풀아크릴 & 강화유리 화이트,\52000,ABKO,미들타워,,O,O,O,아크릴,198mm,450mm,452mm,370mm,159mm,흰색,흰색
142,미들타워,,[ABKO] NCORE 커브 USB3.0 풀 아크릴 윈도우 화이트 with HALO,\45000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,443mm,375mm,162mm,흰색,흰색
143,미들타워,,[ABKO] NCORE 커브 USB3.0 풀 아크릴 윈도우 블랙 with HALO,\40000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,443mm,375mm,162mm,,
144,미들타워,,[ABKO] A5 오페라 USB3.0 풀 아크릴 윈도우 화이트,\42000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,흰색,흰색
145,미들타워,,[ABKO] NCORE 아수라 USB3.0 풀 아크릴 윈도우,\31000,ABKO,미들타워,,O,O,O,아크릴,194mm,491mm,436mm,370mm,159mm,,
146,미들타워,,[ABKO] A5 오페라 USB3.0 풀 아크릴 윈도우 블랙,\38000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,,
147,미들타워,,[ABKO] SUITMASTER 501S RGB 무선리모트 강화유리 블랙,\80000,ABKO,미들타워,,O,O,O,강화유리,220mm,507mm,511mm,450mm,160mm,,
148,미들타워,,[ABKO] SUITMASTER 501S RGB 무선리모트 강화유리 화이트,\85000,ABKO,미들타워,,O,O,O,강화유리,220mm,507mm,511mm,450mm,160mm,흰색,흰색
149,미들타워,,[ABKO] A5 코다 USB3.0 풀 아크릴 윈도우 화이트,\42000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,흰색,
150,미들타워,,[ABKO] A5 코다 USB3.0 풀 아크릴 윈도우 블랙,\38000,ABKO,미들타워,,O,O,O,아크릴,206mm,470mm,440mm,375mm,162mm,,
151,,, ,,,,,,,,,,,,,,,
152,,,-- 쿨러마스터 --,,,,,,,,,,,,,,,
153,,, ,,,,,,,,,,,,,,,
154,미들타워,,[쿨러마스터] MASTERBOX MB500 RGB 컨트롤러 강화유리,\88400,쿨러마스터,미들타워,,O,O,O,강화유리,211mm,475mm,494mm,400mm,160mm,,
155,미니타워,,[쿨러마스터] MASTERBOX Q300P RGB 컨트롤러 풀 아크릴 윈도우,\104000,쿨러마스터,미니타워,,,O,O,아크릴,230mm,450mm,450mm,360mm,157mm,,
156,리틀밸리,,[쿨러마스터] ELITE 110A USB 3.0,\68700,쿨러마스터,리틀밸리,,,,O,,260mm,208mm,280mm,210mm,76mm,,
157,미들타워,,[쿨러마스터] MasterCase H500P RGB 컨트롤러 강화유리,\196800,쿨러마스터,미들타워,O,O,O,O,강화유리,242mm,542mm,544mm,412mm,190mm,,
158,빅타워,,[쿨러마스터] COSMOS C700P RGB Strip 강화유리,\430000,쿨러마스터,빅타워,O,O,O,O,강화유리,306mm,639mm,650mm,490mm,198mm,,
159,미들타워,,[쿨러마스터] MASTERBOX LITE 5 RGB 컨트롤러 강화유리,\71000,쿨러마스터,미들타워,,O,O,O,강화유리,200mm,468.8mm,454.5mm,400mm,160mm,,
160,미들타워,,[쿨러마스터] MASTERBOX LITE 5 RGB 강화유리,\68000,쿨러마스터,미들타워,,O,O,O,강화유리,200mm,468.8mm,454.5mm,400mm,160mm,,
161,빅타워,,[쿨러마스터] COSMOS II 25TH ANNIVERSARY EDITION 대양케이스,\546000,쿨러마스터,빅타워,O,O,O,,강화유리,344mm,704mm,664mm,385mm,190mm,은색,
162,미들타워,,[쿨러마스터] MasterCase Maker 5T LED Strip 강화유리,\312000,쿨러마스터,미들타워,,O,O,O,강화유리,242mm,574mm,544mm,412mm,190mm,검빨,빨강
163,미들타워,,[쿨러마스터] CM590 III 블루 LED 윈도우 MID TOWER,\65000,쿨러마스터,미들타워,,O,O,O,아크릴,200mm,470mm,480mm,405mm,159mm,,
164,미니타워,,[쿨러마스터] MASTERCASE PRO 3,\125000,쿨러마스터,미니타워,,,O,O,아크릴,235mm,505mm,467mm,370mm,190mm,,
165,미들타워,,[쿨러마스터] MASTERCASE PRO 5 엔비디아 에디션,\210000,쿨러마스터,미들타워,,O,O,O,아크릴,235mm,512mm,548mm,412mm,190mm,검초,
166,미들타워,,[쿨러마스터] MASTERBOX5 화이트 Mirror,\59000,쿨러마스터,미들타워,,O,O,O,아크릴,220mm,475mm,500mm,410mm,167mm,흰색,흰색
167,미들타워,,[쿨러마스터] MASTERBOX5 Black Mesh,\55000,쿨러마스터,미들타워,,O,O,O,아크릴,220mm,475mm,500mm,410mm,167mm,,
