,,,제품,가격,회사,파워 규격,정격 용량,액티브 PFC,레일,+12V 전류,4핀 IDE,SATA,PCI-E (6),PCI-E(6+2),Reform 케이블,모듈러,대기전력 1W,플랫 케이블,프리볼트,80 PLUS,깊이,무상 A/S (/유상)
58,500,,[EVGA] 500 BQ 80PLUS BRONZE,\65000,EVGA,ATX,500W,O,싱글,41.6,3,6,,2,,O,,,O,브론즈,140,3
59,500,,[EVGA] 500 W1 80PLUS,\54080,EVGA,ATX,500W,O,싱글,40,3,6,,2,O,,,,O,스탠다드,140,3
60,700,,[EVGA] 750 BQ 80PLUS BRONZE,\112990,EVGA,ATX,750W,O,싱글,62,5,9,3,3,,O,,,O,브론즈,165,5
61,700,,[EVGA] 750 GQ 80PLUS GOLD,\146990,EVGA,ATX,750W,O,싱글,62.4,3,9,,6,,O,,,O,골드,165,5
62,,, ,,,,,,,,,,,,,,,,,,,
63,,,-- FSP --,,,,,,,,,,,,,,,,,,,
64,,, ,,,,,,,,,,,,,,,,,,,
65,1000,,[FSP] AURUM PRO AU-1200PRO,\262230,FSP,ATX,1200W,O,싱글,100,6,10,,8,O,세미,,,O,골드,180,5
66,800,,[FSP] AURUM PRO AU-850PRO,\209290,FSP,ATX,850W,O,싱글,70,6,10,,8,O,세미,,,O,골드,180,5
67,1000,,[FSP] AURUM PT1000W,\257000,FSP,ATX,1000W,O,싱글,83,6,13,,8,O,풀,O,O,O,플래티넘,190,7
68,1000,,[FSP] AURUM PT1200W,\300000,FSP,ATX,1200W,O,싱글,100,6,13,,8,O,풀,O,O,O,플래티넘,190,7
69,500,,[FSP] AURUM PT-550M,\130000,FSP,ATX,550W,O,다중,18/18/18/18,4,7,,2,,세미,,O,O,플래티넘,160,5
70,600,,[FSP] AURUM PT-650M,\148990,FSP,ATX,650W,O,다중,18/18/18/18,4,9,,4,,세미,,O,O,플래티넘,160,5
71,800,,[FSP] AURUM PT850W,\230000,FSP,ATX,850W,O,싱글,70,6,13,,8,O,풀,O,O,O,플래티넘,190,7
72,600,,[FSP] DAGGER 600W SFX 80PLUS GOLD,\149000,FSP,SFX,600W,O,싱글,50,2,5,,2,,풀,,O,O,골드,110,5
73,300,,[FSP] FSP300-60GHS(85),\44000,FSP,SFX,300W,O,다중,14/16,3,4,1,,,,,,O,브론즈,100,
74,300,,[FSP] FSP300-60GHT,\46000,FSP,TFX,300W,O,다중,14/16,2,4,1,,,,O,,,브론즈,175,3
75,400,,[FSP] FSP400-60GHS(85),\54000,FSP,SFX,400W,O,다중,17/16,3,4,1,,,,O,,O,,100,
76,600,,[FSP] HEXA 85+ 650W 80PLUS BRONZE 프리볼트,\69000,FSP,ATX,650W,O,싱글,54.2,2,8,,4,,,,,O,브론즈,140,5
77,500,,[FSP] HEXA+ 500W,\49170,FSP,ATX,500W,O,다중,18/18,2,5,,2,O,,O,,,,140,3/2
78,500,,[FSP] Hydro 500W 80PLUS BRONZE 230V EU,\57680,FSP,ATX,500W,O,싱글,38,3,7,,2,,,,O,,브론즈,150,5
79,600,,[FSP] Hydro 600W 80PLUS BRONZE 230V EU,\85440,FSP,ATX,600W,O,싱글,46,3,10,,4,,,,O,,브론즈,150,5
80,600,,[FSP] Hydro G 650W,\137760,FSP,ATX,650W,O,싱글,54.16,5,10,,4,,풀,,O,O,골드,170,5
81,700,,[FSP] Hydro G 750W,\158320,FSP,ATX,750W,O,싱글,62.5,6,12,,4,,풀,,O,O,골드,170,5
82,800,,[FSP] Hydro G 850W,\179000,FSP,ATX,850W,O,싱글,70.83,6,12,,6,,풀,,O,O,골드,170,5
83,600,,[FSP] Hydro G WHITE 650W,\139000,FSP,ATX,650W,O,싱글,54,6,10,,4,,O,,O,O,골드,170,5
84,700,,[FSP] Hydro G WHITE 750W,\159000,FSP,ATX,750W,O,싱글,62.5,6,12,,4,,O,,O,O,골드,170,5
85,800,,[FSP] Hydro G WHITE 850W,\179000,FSP,ATX,850W,O,싱글,71,6,12,,6,,O,,O,O,골드,170,5
86,600,,[FSP] Hydro GE 650W Black 80PLUS GOLD,\106000,FSP,ATX,650W,O,싱글,54.16,3,12,,4,,O,,O,O,골드,170,5
87,600,,[FSP] Hydro GE 650W White 80PLUS GOLD,\99000,FSP,ATX,650W,O,싱글,54,3,12,,4,,O,,O,O,골드,170,5
88,600,,[FSP] Hydro PTM 650W 80PLUS PLATINUM,\155000,FSP,ATX,650W,O,싱글,54,3,12,,4,,O,,O,O,플래티넘,170,10
89,1000,,[FSP] Hydro PTM+ 1200W Water Cooling System,\765000,FSP,ATX,1200W,O,싱글,100,4,12,,8,,O,,O,O,플래티넘,200,2
90,500,,[FSP] HYPER 500W,\52430,FSP,ATX,500W,O,싱글,38,2,8,,2,O,,,,,스탠다드,140,5
91,600,,[FSP] HYPER 600W,\73000,FSP,ATX,600W,O,싱글,45,2,8,,4,O,,,,,스탠다드,140,5
92,700,,[FSP] HYPER 700W,\95900,FSP,ATX,700W,O,싱글,53,2,8,,4,O,,,,,,140,5
93,500,,[FSP] HYPER K 500W 80PLUS Standard 230V EU,\41120,FSP,ATX,500W,O,싱글,38,3,6,,2,,,,,,스탠다드,140,5
94,600,,[FSP] HYPER K 600W 80PLUS Standard 230V EU,\53000,FSP,ATX,600W,O,싱글,45,3,6,,2,,,,,,스탠다드,140,5
95,700,,[FSP] HYPER K 700W 80PLUS Standard 230V EU,\69000,FSP,ATX,700W,O,싱글,53,2,8,,4,,,,,,스탠다드,140,5
96,500,,[FSP] HYPER M 500W Modular 85+,\64000,FSP,ATX,500W,O,싱글,38,4,9,,2,O,세미,,,,,165,5
97,600,,[FSP] HYPER M 600W Modular 85+,\76000,FSP,ATX,600W,O,싱글,45,4,9,,4,O,세미,,,,,165,5
98,500,,[FSP] Twins 500W ATX Redundant,\454990,FSP,리던던트,500W,O,다중,16/16/16,2,6,,2,,,,,,골드,190,5
99,700,,[FSP] Twins 700W ATX Redundant,\582390,FSP,리던던트,700W,O,싱글,51,2,6,,4,,,,O,O,골드,190,5
100,,, ,,,,,,,,,,,,,,,,,,,
