,,,System Cooler,가격,제조사,팬 크기,두께,베어링,커넥터 핀,최소 회전,최대 회전,최소 풍량,최대 풍량,최소 풍압,최대 풍압,최소 소음,최대 소음,날개 색,본체 색,LED 색,발광 부분,보증 기간
2,EXISTS,,추가하지 않음,,,,,,,,,,,,,,,,,,,
3,EXISTS,, ,,,,,,,,,,,,,,,,,,,
71,140,,[NZXT] AER RGB 140 단품 패키지 BRAVOTEC,\49000,NZXT,140mm,25T,유체,4핀,500rpm,1500rpm,30.39CFM,91.19CFM,0.17mmH2O,1.52mmH2O,22dBA,33dBA,검정,검정,RGB (Cont),링,2년
72,140,, ,,,140mm,,,,,,,,,,,,,,,,
73,140,,[써멀테이크] Riing 14 RGB Radiator Fan TT Premium Edition 아스크텍,\85000,써멀테이크,140mm,25T,Hydraulic,9핀,500rpm,1400rpm,,63.19CFM,,1.53mmH2O,,27.2dBA,검정,검정,RGB (Cont),링,
74,140,,[써멀테이크] Riing 14 LED RGB 256 Colors (3PACK),\65700,써멀테이크,140mm,25T,Hydraulic,4핀,800rpm,1400rpm,29.229CFM,51.15CFM,0.515mmH2O,1.58mmH2O,19dBA,28.1dBA,검정,검정,256C (Cont),링,
75,140,,[써멀테이크] Riing 14 LED RGB 256 Colors (1PACK),\27600,써멀테이크,140mm,25T,Hydraulic,4핀,800rpm,1400rpm,29.229CFM,51.15CFM,0.515mmH2O,1.58mmH2O,19dBA,28.1dBA,검정,검정,256C (Cont),링,
76,140,,[써멀테이크] Riing 14 LED FAN Yellow 아스크텍,\16100,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,51.15CFM,,1.58mmH2O,,28.1dBA,검정,검정,노랑,링,
77,140,,[써멀테이크] Riing 14 LED FAN Orange 아스크텍,\16100,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,51.15CFM,,1.58mmH2O,,28.1dBA,검정,검정,주황,링,
78,140,,[써멀테이크] Riing 14 LED FAN White 아스크텍,\16790,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,51.15CFM,,1.58mmH2O,,28.1dBA,검정,검정,흰색,링,
79,140,,[써멀테이크] Riing 14 LED FAN Green 아스크텍,\16100,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,51.15CFM,,1.58mmH2O,,28.1dBA,검정,검정,녹색,링,
80,140,,[써멀테이크] Riing 14 LED FAN Red 아스크텍,\16250,써멀테이크,140mm,25T,Hydraulic,3핀,,1400rpm,,51.15CFM,,1.58mmH2O,,28.1dBA,검정,검정,빨강,링,
