,,,SSD 제품,가격,제조사,용량,폼팩터,전송방식,저장 방식,컨트롤러,읽기 속도,쓰기 속도,TRIM,GC,S.M.A.R.T,ECC,DEVSLP,SLC 캐싱,두께,A/S,
88,삼성,,[삼성] 850 EVO mSATA 1TB,\368780,삼성,1000GB,mSATA,SATA3,3D TLC,삼성 MGX 컨트롤러,540MB/s,520MB/s,O,O,O,,,,3.85mm,5년,
89,,, ,,,,,,,,,,,,,,,,,,
90,,,-- 인텔 --,,,,,,,,,,,,,,,,,,
91,,, ,,,,,,,,,,,,,,,,,,
92,인텔,,[인텔] DC S4500 240GB,\191320,인텔,240GB,2.5,SATA3,3D TLC,,500MB/s,190MB/s,,,,,,,7mm,5년,
93,인텔,,[인텔] DC S4500 480GB,\371810,인텔,480GB,2.5,SATA3,3D TLC,,500MB/s,190MB/s,,,,,,,7mm,5년,
94,인텔,,[인텔] DC S4500 960GB,\725760,인텔,960GB,2.5,SATA3,3D TLC,,500MB/s,190MB/s,,,,,,,7mm,5년,
95,인텔,,[인텔] DC S4500 1.9TB,\1520640,인텔,1920GB,2.5,SATA3,3D TLC,,500MB/s,190MB/s,,,,,,,7mm,5년,
96,인텔,,[인텔] DC S4500 3.8TB,\3041280,인텔,3840GB,2.5",SATA3,3D TLC,,500MB/s,190MB/s,,,,,,,7mm,5년,
97,인텔,,[인텔] 545s 128GB,\79600,인텔,128GB,2.5",SATA3,3D TLC,,550MB/s,550MB/s,,,,,O,,7mm,5년,
98,인텔,,[인텔] 545s 256GB,\123000,인텔,256GB,2.5",SATA3,3D TLC,,550MB/s,550MB/s,,,,,O,,7mm,5년,
99,인텔,,[인텔] 545s 512GB,\220000,인텔,512GB,2.5",SATA3,3D TLC,,550MB/s,550MB/s,,,,,O,,7mm,5년,
100,인텔,,[인텔] DC S3520 Series 150GB,\124360,인텔,150GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
101,인텔,,[인텔] DC S3520 Series 240GB,\179250,인텔,240GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
102,인텔,,[인텔] DC S3520 Series 960GB,\709910,인텔,960GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
103,인텔,,[인텔] DC S3520 Series 1.2TB,\859170,인텔,1200GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
104,인텔,,[인텔] DC S3520 Series 1.5TB,\1206720,인텔,1500GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
105,인텔,,[인텔] DC S3520 Series 480GB,\360190,인텔,480GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
106,인텔,,[인텔] DC S3520 Series 800GB,\587460,인텔,800GB,2.5",SATA3,3D MLC,,450MB/s,380MB/s,,O,,,,,,5년,
107,인텔,,[인텔] Optane Memory M.2 2280 16GB,\51480,인텔,16GB,M.2 2280,NVMe,,,1200MB/s,280MB/s,,,,,,,1.5mm,5년,
108,인텔,,[인텔] Optane Memory M.2 2280 32GB,\105000,인텔,32GB,M.2 2280,NVMe,,,1200MB/s,280MB/s,,,,,,,1.5mm,5년,
109,인텔,,[인텔] 600P M.2 2280 128GB,\82290,인텔,128GB,M.2 2280,NVMe 1.2,3D TLC,,1800MB/s,550MB/s,,O,,,,,,5년,
110,인텔,,[인텔] 600P M.2 2280 256GB,\139340,인텔,256GB,M.2 2280,NVMe 1.2,3D TLC,,1800MB/s,550MB/s,,O,,,,,,5년,
111,인텔,,[인텔] 600P M.2 2280 512GB,\245620,인텔,512GB,M.2 2280,NVMe 1.2,3D TLC,,1800MB/s,550MB/s,,O,,,,,,5년,
112,인텔,,[인텔] 600P M.2 2280 1TB,\500000,인텔,1024GB,M.2 2280,NVMe 1.2,3D TLC,,1800MB/s,550MB/s,,O,,,,,,5년,
113,인텔,,[인텔] 540s M.2 2280 240GB,\133000,인텔,240GB,M.2 2280,SATA3,TLC,,560MB/s,480MB/s,,,,,O,,3.73mm,,
114,인텔,,[인텔] 540s M.2 2280 480GB,\171500,인텔,480GB,M.2 2280,SATA3,TLC,,560MB/s,480MB/s,,,,,O,,3.73mm,,
115,인텔,,[인텔] 540s M.2 2280 1TB,\383000,인텔,1000GB,M.2 2280,SATA3,TLC,,560MB/s,480MB/s,,,,,O,,3.73mm,,
