33,[Intel] i3-6300 (스카이레이크),\191910,Core i3,Intel,2개,4개,3.8 Ghz,지원 안함 ,4MB,HD 530,1150Mhz,2133Mhz,51W,LGA 1151,O,O,i3-6300
34,[Intel] i3-6320 (스카이레이크),\187010,Core i3,Intel,2개,4개,3.9 Ghz,지원 안함 ,4MB,HD 530,1150Mhz,2133Mhz,51W,LGA 1151,O,O,i3-6320
35,[Intel] i3-7100 (카비레이크),\115200,Core i3,Intel,2개,4개,3.9 Ghz,지원 안함 ,3MB,HD 630,1100Mhz,2400Mhz,51W,LGA 1151,O,O,i3-7100
36,[Intel] i3-7300 (카비레이크),\162000,Core i3,Intel,2개,4개,4 Ghz,지원 안함 ,4MB,HD 630,1150Mhz,2400Mhz,51W,LGA 1151,O,O,i3-7300
37,[Intel] i3-7320 (카비레이크),\165400,Core i3,Intel,2개,4개,4.1 Ghz,지원 안함 ,4MB,HD 630,1150Mhz,2400Mhz,51W,LGA 1151,O,O,i3-7320
38,[Intel] i3-7350K (카비레이크),\155700,Core i3,Intel,2개,4개,4.2 Ghz,지원 안함 ,4MB,HD 630,1150Mhz,2400Mhz,60W,LGA 1151,O,X,i3-7350K
39,[Intel] i3-8100 (커피레이크),\125000,Core i3,Intel,4개,4개,3.6 Ghz,지원 안함 ,6MB,UHD 630 (i3),1100Mhz,2400Mhz,65W,LGA 1151v2,O,O,i3-8100
40,[Intel] i3-8300 (커피레이크),\156600,Core i3,Intel,4개,4개,3.7 Ghz,지원 안함 ,8MB,UHD 630 (i3),1150Mhz,2400Mhz,65W,LGA 1151v2,O,O,i3-8300
41,[Intel] i3-8350K (커피레이크),\193300,Core i3,Intel,4개,4개,4 Ghz,지원 안함 ,8MB,UHD 630 (i3),1150Mhz,2400Mhz,95W,LGA 1151v2,O,X,i3-8350K
42,[Intel] i5-4440 (하스웰) (벌크),\189190,Core i5,Intel,4개,4개,3.1 Ghz,3.3 Ghz,6MB,HD 4600,1100Mhz,1600Mhz,84W,LGA 1150,X,X,i5-4440
43,[Intel] i5-4460 (하스웰 리프레시) (벌크 +쿨러),\177780,Core i5,Intel,4개,4개,3.2 Ghz,3.4 Ghz,6MB,HD 4600,1100Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4460
44,[Intel] i5-4570 (하스웰) (벌크),\160310,Core i5,Intel,4개,4개,3.2 Ghz,3.6 Ghz,6MB,HD 4600,1150Mhz,1600Mhz,84W,LGA 1150,X,X,i5-4570
45,[Intel] i5-4590 (하스웰 리프레시) (벌크 +쿨러),\188500,Core i5,Intel,4개,4개,3.3 Ghz,3.7 Ghz,6MB,HD 4600,1150Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4590
46,[Intel] i5-4670 (하스웰) (벌크 + 쿨러),\174440,Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4670
47,[Intel] i5-4670K (하스웰) (벌크 + 쿨러),\291200,Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4670K
48,[Intel] i5-4690 (하스웰 리프레시) (벌크 + 쿨러),\170350,Core i5,Intel,4개,4개,3.5 GHz,3.9 GHz,6MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i5-4690
49,[Intel] i5-4690K (데빌스캐년) (벌크),\329880,Core i5,Intel,4개,4개,3.5 Ghz,3.9 Ghz,6MB,HD 4600,1200Mhz,1600Mhz,88W,LGA 1150,X,X,i5-4690K
50,[Intel] i5-6400 (스카이레이크),\201900,Core i5,Intel,4개,4개,2.7 Ghz,3.3 Ghz,6MB,HD 530,950Mhz,2133Mhz,65W,LGA 1151,O,O,i5-6400
51,[Intel] i5-6500 (스카이레이크),\223900,Core i5,Intel,4개,4개,3.2 Ghz,3.6 Ghz,6MB,HD 530,1050Mhz,2133Mhz,65W,LGA 1151,O,O,i5-6500
52,[Intel] i5-6600 (스카이레이크),\243200,Core i5,Intel,4개,4개,3.3 Ghz,3.9 Ghz,6MB,HD 530,1150Mhz,2133Mhz,65W,LGA 1151,O,O,i5-6600
53,[Intel] i5-6600K (스카이레이크),\262500,Core i5,Intel,4개,4개,3.5 GHz,3.9 GHz,6MB,HD 530,1150Mhz,2133Mhz,91W,LGA 1151,O,X,i5-6600K
54,[Intel] i5-7400 (카비레이크),\194800,Core i5,Intel,4개,4개,3 Ghz,3.5 Ghz,6MB,HD 630,1000Mhz,2400Mhz,65W,LGA 1151,O,O,i5-7400
55,[Intel] i5-7500 (카비레이크),\206200,Core i5,Intel,4개,4개,3.4 Ghz,3.8 Ghz,6MB,HD 630,1100Mhz,2400Mhz,65W,LGA 1151,O,O,i5-7500
56,[Intel] i5-7600 (카비레이크),\233700,Core i5,Intel,4개,4개,3.5 Ghz,4.1 Ghz,6MB,HD 630,1150Mhz,2400Mhz,65W,LGA 1151,O,O,i5-7600
57,[Intel] i5-7600K (카비레이크),\288400,Core i5,Intel,4개,4개,3.8 Ghz,4.2 Ghz,6MB,HD 630,1150Mhz,2400Mhz,91W,LGA 1151,O,X,i5-7600K
58,[Intel] i5-7640X (카비레이크-X),\184100,Core i5,Intel,4개,4개,4 Ghz,4.2 Ghz,6MB,N/A,N/A,2400Mhz,112W,LGA 2066,O,X,i5-7640X
59,[Intel] i5-8400 (커피레이크),\219900,Core i5,Intel,6개,6개,2.8 Ghz,4 Ghz,9MB,UHD 630,1050Mhz,2666Mhz,65W,LGA 1151v2,O,O,i5-8400
60,[Intel] i5-8400 (커피레이크)(벌크),\206000,Core i5,Intel,6개,6개,2.8 Ghz,4 Ghz,9MB,UHD 630,1050Mhz,2666Mhz,65W,LGA 1151v2,X,X,i5-8400
61,[Intel] i5-8400 (커피레이크)(벌크+쿨러),\210000,Core i5,Intel,6개,6개,2.8 Ghz,4 Ghz,9MB,UHD 630,1050Mhz,2666Mhz,65W,LGA 1151v2,X,O,i5-8400
62,[Intel] i5-8500 (커피레이크),\235000,Core i5,Intel,6개,6개,3 Ghz,4.1 Ghz,9MB,UHD 630,1100Mhz,2666Mhz,65W,LGA 1151v2,O,O,i5-8500
63,[Intel] i5-8500 (커피레이크)(벌크),\224000,Core i5,Intel,6개,6개,3 Ghz,4.1 Ghz,9MB,UHD 630,1100Mhz,2666Mhz,65W,LGA 1151v2,X,X,i5-8500
64,[Intel] i5-8500 (커피레이크)(벌크+쿨러),\227900,Core i5,Intel,6개,6개,3 Ghz,4.1 Ghz,9MB,UHD 630,1100Mhz,2666Mhz,65W,LGA 1151v2,X,O,i5-8500
65,[Intel] i5-8600 (커피레이크),\240000,Core i5,Intel,6개,6개,3.1 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,65W,LGA 1151v2,O,O,i5-8600
66,[Intel] i5-8600 (커피레이크)(벌크),\240000,Core i5,Intel,6개,6개,3.1 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,65W,LGA 1151v2,X,X,i5-8600
67,[Intel] i5-8600 (커피레이크)(벌크+쿨러),\239000,Core i5,Intel,6개,6개,3.1 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,65W,LGA 1151v2,X,O,i5-8600
68,[Intel] i5-8600K (커피레이크),\277000,Core i5,Intel,6개,6개,3.6 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,95W,LGA 1151v2,O,X,i5-8600K
69,[Intel] i5-8600K (커피레이크)(벌크),\261300,Core i5,Intel,6개,6개,3.6 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,95W,LGA 1151v2,X,X,i5-8600K
70,[Intel] i5-8600K (커피레이크)(벌크+쿨러),\264700,Core i5,Intel,6개,6개,3.6 Ghz,4.3 Ghz,9MB,UHD 630,1150Mhz,2666Mhz,95W,LGA 1151v2,X,O,i5-8600K
71,[Intel] i7-4770 (하스웰) (벌크 + 쿨러),\340000,Core i7,Intel,4개,8개,3.4 Ghz,3.9 Ghz,8MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i7-4770
72,[Intel] i7-4770K (하스웰) (벌크),\369740,Core i7,Intel,4개,8개,3.5 Ghz,3.9 Ghz,8MB,HD 4600,1250Mhz,1600Mhz,84W,LGA 1150,X,X,i7-4770K
73,[Intel] i7-4790 (하스웰 리프레시),\403140,Core i7,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,O,O,i7-4790
74,[Intel] i7-4790 (하스웰 리프레시) (벌크 + 쿨러),\319400,Core i7,Intel,4개,8개,3.6 Ghz,4 Ghz,8MB,HD 4600,1200Mhz,1600Mhz,84W,LGA 1150,X,O,i7-4790
75,[Intel] i7-4790K (데빌스캐년) (벌크),\514220,Core i7,Intel,4개,8개,4 Ghz,4.4 Ghz,8MB,HD 4600,1250Mhz,1600Mhz,88W,LGA 1150,X,X,i7-4790K
76,[Intel] i7-5820K (하스웰-E),\460000,Core i7,Intel,6개,12개,3.3 GHz,3.6 GHz,15MB,N/A,N/A,2133Mhz,140W,LGA 2011-v3,O,X,i7-5820K
77,[Intel] i7-5930K (하스웰-E),\460000,Core i7,Intel,6개,12개,3.5 GHz,3.7 GHz,15MB,N/A,N/A,2133Mhz,140W,LGA 2011-v3,O,X,i7-5930K
78,[Intel] i7-5960X (하스웰-E),\1250000,Core i7,Intel,8개,16개,3 GHz,3.5 GHz,20MB,N/A,N/A,2133Mhz,140W,LGA 2011-v3,O,X,i7-5960X
79,[Intel] i7-6800K (브로드웰-E),\502000,Core i7,Intel,6개,12개,3.4 Ghz,3.8 Ghz,15MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6800K
80,[Intel] i7-6850K (브로드웰-E),\640240,Core i7,Intel,6개,12개,3.6 Ghz,3.8 Ghz,15MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6850K
81,[Intel] i7-6900K (브로드웰-E),\1255480,Core i7,Intel,8개,16개,3.2 GHz,3.7 GHz,20MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6900K
82,[Intel] i7-6950X (브로드웰-E),\2168060,Core i7,Intel,10개,20개,3 Ghz,3.5 Ghz,25MB,N/A,N/A,2400Mhz,140W,LGA 2011-v3,O,X,i7-6950X
83,[Intel] i7-6700 (스카이레이크),\349700,Core i7,Intel,4개,8개,3.4 Ghz,4 Ghz,8MB,HD 530,1150Mhz,2133Mhz,65W,LGA 1151,O,O,i7-6700
84,[Intel] i7-6700K (스카이레이크),\330000,Core i7,Intel,4개,8개,4 Ghz,4.2 Ghz,8MB,HD 530,1150Mhz,2133Mhz,91W,LGA 1151,O,X,i7-6700K
85,[Intel] i7-7700 (카비레이크),\315800,Core i7,Intel,4개,8개,3.6 Ghz,4.2 Ghz,8MB,HD 630,1150Mhz,2400Mhz,65W,LGA 1151,O,O,i7-7700
86,[Intel] i7-7700K (카비레이크),\337400,Core i7,Intel,4개,8개,4.2 Ghz,4.5 Ghz,8MB,HD 630,1150Mhz,2400Mhz,91W,LGA 1151,O,X,i7-7700K
87,[Intel] i7-7740X (카비레이크-X),\467450,Core i7,Intel,4개,8개,4.3 Ghz,4.5 Ghz,8MB,N/A,N/A,2400Mhz,112W,LGA 2066,O,X,i7-7740X
88,[Intel] i7-7800X (스카이레이크-X),\392000,Core i7,Intel,6개,12개,3.5 Ghz,4 Ghz,8.25MB,N/A,N/A,2400Mhz,140W,LGA 2066,O,X,i7-7800X
89,[Intel] i7-7820X (스카이레이크-X),\627600,Core i7,Intel,8개,16개,3.6 Ghz,4.5 Ghz,11MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i7-7820X
90,[Intel] i9-7900X (스카이레이크-X),\1134000,Core i9,Intel,10개,20개,3.3 Ghz,4.3 Ghz,13.75MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i9-7900X
91,[Intel] i9-7920X (스카이레이크-X),\1253520,Core i9,Intel,12개,24개,2.9 GHz,4.3 GHz,16.5MB,N/A,N/A,2666Mhz,140W,LGA 2066,O,X,i9-7920X
92,[Intel] i9-7940X (스카이레이크-X),\1468000,Core i9,Intel,14개,28개,3.1 GHz,4.3 GHz,19.25MB,N/A,N/A,2666Mhz,165W,LGA 2066,O,X,i9-7940X
